ParticipantID,Condition,Trial,TargetID,Target_Position_X,Target_Position_Y,Target_Position_Z,Selection_Position_X,Selection_Position_Y,Selection_Position_Z,GripperTip_Position_X,GripperTip_Position_Y,GripperTip_Position_Z,Gripper_Position_X,Gripper_Position_Y,Gripper_Position_Z,Distance_Tip_to_Disk,Timestamp,
5,A_Baseline,1,3,-0.03202094,0.7807099,0.9,-0.03259593,0.75675,0.8999025,-0.03259579,0.75675,0.80445,-0.01060157,0.7221799,0.6991403,0.09545241,202403271059416814,
5,A_Baseline,1,8,-0.03202103,0.3352902,0.9000001,-0.01398172,0.3107063,0.9,-0.0139815,0.3107066,0.8131125,0.0313761,0.3363836,0.7128509,0.08688753,202403271102217660,
5,A_Baseline,1,2,0.09346844,0.7626672,0.9000001,0.06922995,0.752343,0.9000002,0.06923024,0.7523434,0.8161523,0.07356633,0.7195273,0.7081093,0.08384784,202403271103457869,
5,A_Baseline,1,7,-0.1473438,0.3879563,0.9000001,-0.1623895,0.4091533,0.9000001,-0.1623892,0.4091535,0.8384693,-0.1147997,0.4308398,0.7382997,0.06153075,202403271104108068,
5,A_Baseline,1,1,0.189282,0.6796442,0.9,0.1721002,0.6645074,0.8998129,0.1721008,0.6645064,0.8003248,0.1817307,0.6338832,0.6919805,0.09948815,202403271104332479,
5,A_Baseline,1,6,-0.2158861,0.4946102,0.9000001,-0.2306001,0.4718063,0.9000001,-0.2305998,0.4718067,0.817535,-0.1670585,0.4758072,0.7241781,0.08246512,202403271105273963,
5,A_Baseline,1,0,0.2249999,0.558,0.9000001,0.2335009,0.5573673,0.8995443,0.2335014,0.5573674,0.7998621,0.235938,0.5459429,0.6874673,0.0996822,202403271106446647,
5,A_Baseline,1,5,-0.2158861,0.6213899,0.9000001,-0.2404242,0.597998,0.9,-0.2404239,0.5979984,0.8068817,-0.1847044,0.5907552,0.7088416,0.09311826,202403271106589712,
5,A_Baseline,1,10,0.1892819,0.4363558,0.9000001,0.1948121,0.4610996,0.9000002,0.1948124,0.4611,0.8349593,0.2017001,0.4664687,0.7222971,0.0650409,202403271107148619,
5,A_Baseline,1,4,-0.1473437,0.7280437,0.9000001,-0.1242888,0.7072886,0.9000001,-0.1242885,0.7072887,0.8077881,-0.08678896,0.6834252,0.7038973,0.09221195,202403271107229170,
5,A_Baseline,1,9,0.09346812,0.3533327,0.9000002,0.108952,0.3568916,0.8996286,0.1089523,0.3568919,0.8000415,0.1476106,0.3617187,0.6939697,0.09958705,202403271109361446,
5,A_Baseline,2,3,-0.03202094,0.7807099,0.9,-0.05588974,0.7565179,0.9000001,-0.0558895,0.7565182,0.8012369,-0.02715174,0.7202663,0.69814,0.09876316,202403271113236762,
5,A_Baseline,2,8,-0.03202103,0.3352902,0.9000001,-0.05697146,0.3565699,0.9000001,-0.05697125,0.3565702,0.8097153,0.001710538,0.359352,0.7131869,0.09028482,202403271115297001,
5,A_Baseline,2,2,0.09346844,0.7626672,0.9000001,0.09347523,0.7503519,0.8995722,0.09347539,0.7503514,0.7997124,0.09866108,0.7200807,0.6909658,0.09985974,202403271115424530,
5,A_Baseline,2,7,-0.1473438,0.3879563,0.9000001,-0.1227776,0.3641107,0.9,-0.1227772,0.3641109,0.8409217,-0.07351205,0.3871891,0.7418796,0.05907833,202403271116089323,
5,A_Baseline,2,1,0.189282,0.6796442,0.9,0.1647704,0.6693843,0.9000002,0.1647706,0.6693847,0.801263,0.1748254,0.6421577,0.6920542,0.09873714,202403271116578236,
5,A_Baseline,2,6,-0.2158861,0.4946102,0.9000001,-0.2172724,0.5192765,0.9000001,-0.2172721,0.5192768,0.8439342,-0.158758,0.5134011,0.7474429,0.05606586,202403271117214218,
5,A_Baseline,2,0,0.2249999,0.558,0.9000001,0.2033527,0.5818775,0.9000002,0.203353,0.5818775,0.8171966,0.2082381,0.569297,0.7050055,0.08280351,202403271119223508,
