ParticipantID,Condition,Trial,TargetID,Target_Position_X,Target_Position_Y,Target_Position_Z,Selection_Position_X,Selection_Position_Y,Selection_Position_Z,GripperTip_Position_X,GripperTip_Position_Y,GripperTip_Position_Z,Gripper_Position_X,Gripper_Position_Y,Gripper_Position_Z,Distance_Tip_to_Disk,Timestamp,
1,A_Baseline,1,3,-0.03202112,0.78071,0.9000003,-0.05135259,0.7745746,0.8997211,-0.05135277,0.774574,0.8005784,-0.06070026,0.7564489,0.6894338,0.09914269,202403261034156273,
1,A_Baseline,1,8,-0.03202103,0.3352903,0.9000003,-0.02272332,0.3595026,0.9000002,-0.02272291,0.3595024,0.8565307,-0.03921552,0.407441,0.7555411,0.04346952,202403261034381372,
1,A_Baseline,1,2,0.09346819,0.7626675,0.9000003,0.06932241,0.7404872,0.9000003,0.06932275,0.7404871,0.8173399,0.03999353,0.7274567,0.7089931,0.08266044,202403261035120511,
1,A_Baseline,1,7,-0.1473439,0.3879566,0.9000003,-0.1227331,0.3918594,0.9000002,-0.1227327,0.3918591,0.867838,-0.1122344,0.4300823,0.7620185,0.03216216,202403261035271696,
1,A_Baseline,1,1,0.1892819,0.6796444,0.9000003,0.1816144,0.7022098,0.8998914,0.1816147,0.7022093,0.8057238,0.1408985,0.6940295,0.7006322,0.09416755,202403261035445518,
1,A_Baseline,1,6,-0.2158862,0.4946104,0.9000002,-0.2395407,0.5158505,0.9000002,-0.2395403,0.5158502,0.8034158,-0.2256495,0.5406229,0.6940432,0.09658434,202403261035590844,
1,A_Baseline,1,0,0.2249998,0.5580003,0.9000004,0.2458676,0.5826223,0.9000003,0.2458679,0.5826219,0.8009463,0.2165414,0.6121547,0.6958901,0.09905405,202403261036300676,
1,A_Baseline,1,5,-0.2158863,0.6213901,0.9000003,-0.2254367,0.6225857,0.8995446,-0.2254373,0.6225858,0.7997198,-0.2110962,0.6455827,0.6900182,0.09982479,202403261036554239,
1,A_Baseline,1,10,0.1892818,0.4363559,0.9000004,0.2142757,0.4305561,0.9000003,0.214276,0.4305559,0.8291371,0.1793319,0.4785123,0.7329701,0.07086325,202403261037295852,
1,A_Baseline,1,4,-0.1473439,0.7280439,0.9000003,-0.14535,0.7066628,0.8997551,-0.1453502,0.7066628,0.7997956,-0.1508024,0.7088193,0.6869478,0.09995952,202403261038005327,
1,A_Baseline,1,9,0.0934682,0.353333,0.9000003,0.09528818,0.3774628,0.8999317,0.09528822,0.3774627,0.864424,0.05514513,0.4211993,0.768275,0.03550766,202403261038158017,
1,A_Baseline,2,3,-0.03202112,0.78071,0.9000003,-0.01678062,0.7973201,0.8998073,-0.01678076,0.7973196,0.7998165,-0.03940553,0.7821268,0.6901519,0.0999908,202403261039511673,
1,A_Baseline,2,8,-0.03202103,0.3352903,0.9000003,-0.02174858,0.3590785,0.9000003,-0.02174825,0.3590782,0.8602632,-0.03949252,0.410538,0.761238,0.03973715,202403261040018978,
1,A_Baseline,2,2,0.09346819,0.7626675,0.9000003,0.08703015,0.7383319,0.9000003,0.08703049,0.7383315,0.8054513,0.05343676,0.7337431,0.6976578,0.09454889,202403261040155494,
1,A_Baseline,2,7,-0.1473439,0.3879566,0.9000003,-0.1257277,0.4120447,0.9000003,-0.1257273,0.4120444,0.8249243,-0.1265396,0.4610601,0.7231116,0.07507597,202403261040256482,
1,A_Baseline,2,1,0.1892819,0.6796444,0.9000003,0.1644995,0.6810129,0.9000003,0.1644998,0.6810126,0.813607,0.1184026,0.6875847,0.7106465,0.08639328,202403261040446900,
1,A_Baseline,2,6,-0.2158862,0.4946104,0.9000002,-0.19113,0.5131885,0.9000002,-0.1911295,0.5131881,0.8094677,-0.1861219,0.5488995,0.7023761,0.09053244,202403261040559653,
1,A_Baseline,2,0,0.2249998,0.5580003,0.9000004,0.2125773,0.5821158,0.9000003,0.2125776,0.5821155,0.8157634,0.1653402,0.6067189,0.7161028,0.08423688,202403261041038395,
1,A_Baseline,2,5,-0.2158863,0.6213901,0.9000003,-0.211148,0.6459806,0.9000002,-0.2111475,0.6459803,0.8023351,-0.2087186,0.6560959,0.6898151,0.09766504,202403261041194840,
1,A_Baseline,2,10,0.1892818,0.4363559,0.9000004,0.2136407,0.4217702,0.9000004,0.2136409,0.4217699,0.8475565,0.1740855,0.4615234,0.7494544,0.05244387,202403261041304489,
1,A_Baseline,2,4,-0.1473439,0.7280439,0.9000003,-0.1450365,0.7273172,0.8995095,-0.1450367,0.7273172,0.8000548,-0.1588308,0.7172198,0.6883554,0.09945468,202403261041430898,
1,A_Baseline,2,9,0.0934682,0.353333,0.9000003,0.08277803,0.3769174,0.9000003,0.08277839,0.3769172,0.8571126,0.04680692,0.4192156,0.7586956,0.04288772,202403261041509040,
1,A_Baseline,3,3,-0.03202112,0.78071,0.9000003,-0.02959774,0.7562412,0.9000003,-0.02959728,0.756241,0.8010318,-0.04541595,0.7416403,0.6901012,0.09896851,202403261043004044,
1,A_Baseline,3,8,-0.03202103,0.3352903,0.9000003,-0.018023,0.3600867,0.9000003,-0.01802264,0.3600865,0.8628893,-0.03728246,0.404157,0.7606355,0.03711094,202403261043087994,
1,A_Baseline,3,2,0.09346819,0.7626675,0.9000003,0.08176138,0.7384331,0.9000003,0.08176181,0.7384329,0.8036194,0.03567178,0.723661,0.7015093,0.09638084,202403261043325994,
1,A_Baseline,3,7,-0.1473439,0.3879566,0.9000003,-0.1348936,0.3641483,0.9000002,-0.1348933,0.3641481,0.8469225,-0.150448,0.4086583,0.7442291,0.05307766,202403261043459070,
1,A_Baseline,3,1,0.1892819,0.6796444,0.9000003,0.2079253,0.7004093,0.9000003,0.2079256,0.700409,0.8000191,0.1429676,0.6961782,0.7076527,0.09998118,202403261043579147,
1,A_Baseline,3,6,-0.2158862,0.4946104,0.9000002,-0.2029954,0.5192099,0.9000002,-0.2029951,0.5192096,0.8481452,-0.2089195,0.5370251,0.7367159,0.05185493,202403261044419654,
1,A_Baseline,3,0,0.2249998,0.5580003,0.9000004,0.2033796,0.536638,0.9000003,0.2033799,0.5366378,0.846416,0.1464861,0.552379,0.7500607,0.05358431,202403261044482647,
1,A_Baseline,3,5,-0.2158863,0.6213901,0.9000003,-0.1913663,0.6275444,0.9000003,-0.1913659,0.627544,0.8589391,-0.2078036,0.6157384,0.7477663,0.04106111,202403261044592993,
1,A_Baseline,3,10,0.1892818,0.4363559,0.9000004,0.2135342,0.4608673,0.9000004,0.2135346,0.4608672,0.8728119,0.1545561,0.4784611,0.7780438,0.02718849,202403261045050204,
1,A_Baseline,3,4,-0.1473439,0.7280439,0.9000003,-0.1624514,0.7524461,0.9000003,-0.162451,0.7524456,0.8104557,-0.1777599,0.7294272,0.7008893,0.08954458,202403261045222810,
1,A_Baseline,3,9,0.0934682,0.353333,0.9000003,0.1174585,0.3750431,0.9000003,0.1174589,0.3750428,0.8747491,0.07802116,0.4109372,0.7751235,0.02525123,202403261045288193,
1,B_HumanHorizontal,1,3,-0.03202112,0.78071,0.9000003,-0.03992593,0.7560543,0.9000003,-0.03992556,0.7560541,0.8329125,-0.06114818,0.7372771,0.7235233,0.06708775,202403261047181305,
1,B_HumanHorizontal,1,8,-0.03202103,0.3352903,0.9000003,-0.009338871,0.3594604,0.9000003,-0.009338585,0.3594601,0.8592372,-0.03062826,0.4058138,0.7584053,0.04076305,202403261047234315,
1,B_HumanHorizontal,1,2,0.09346819,0.7626675,0.9000003,0.1156876,0.778424,0.9000003,0.115688,0.7784235,0.8003029,0.06938616,0.757364,0.6993988,0.09969733,202403261047379873,
1,B_HumanHorizontal,1,7,-0.1473439,0.3879566,0.9000003,-0.1598157,0.3636672,0.9000002,-0.1598153,0.3636669,0.8397453,-0.1690162,0.4088427,0.7365777,0.06025491,202403261047490966,
1,B_HumanHorizontal,1,1,0.1892819,0.6796444,0.9000003,0.1655335,0.6743497,0.899963,0.1655338,0.6743494,0.8264557,0.1099817,0.6640869,0.7285903,0.07350729,202403261047578394,
1,B_HumanHorizontal,1,6,-0.2158862,0.4946104,0.9000002,-0.2403904,0.5152752,0.9000002,-0.24039,0.5152749,0.811246,-0.247168,0.5325427,0.6997789,0.08875418,202403261048075197,
1,B_HumanHorizontal,1,0,0.2249998,0.5580003,0.9000004,0.2190083,0.582934,0.9000003,0.2190087,0.5829335,0.8256678,0.1538465,0.5849657,0.7333705,0.07433248,202403261048140332,
1,B_HumanHorizontal,1,5,-0.2158863,0.6213901,0.9000003,-0.192246,0.6237724,0.8998969,-0.1922467,0.6237726,0.8284892,-0.2024688,0.6262807,0.7159803,0.07140766,202403261048197825,
