ParticipantID,Condition,Trial,TargetID,Target_Position_X,Target_Position_Y,Target_Position_Z,Selection_Position_X,Selection_Position_Y,Selection_Position_Z,GripperTip_Position_X,GripperTip_Position_Y,GripperTip_Position_Z,Gripper_Position_X,Gripper_Position_Y,Gripper_Position_Z,Distance_Tip_to_Disk,Timestamp
3,C_HumanVertical,1,3,-0.032021,0.7807101,0.9000004,-0.02455301,0.7782476,0.8995381,-0.02455377,0.7782472,0.8005964,-0.001839533,0.7618725,0.6911206,0.09894169,2.02403E+17
3,C_HumanVertical,1,8,-0.0320211,0.3352901,0.9000004,-0.008012122,0.3419188,0.9000005,-0.008011851,0.3419184,0.8067989,0.03451561,0.3784712,0.708695,0.09320155,2.02403E+17
3,C_HumanVertical,1,2,0.0934683,0.7626675,0.9000004,0.1061338,0.7381124,0.9000005,0.1061342,0.738112,0.8082142,0.1175446,0.7114042,0.6990103,0.09178621,2.02403E+17
3,C_HumanVertical,1,7,-0.1473439,0.3879564,0.9000005,-0.1235851,0.3764706,0.9000005,-0.1235846,0.3764702,0.8441726,-0.07082793,0.4016899,0.7474787,0.05582781,2.02403E+17
3,C_HumanVertical,1,1,0.1892821,0.6796446,0.9000005,0.1925915,0.6920515,0.8995806,0.1925912,0.6920509,0.7995843,0.1970833,0.6687738,0.689099,0.09999631,2.02403E+17
3,C_HumanVertical,1,6,-0.2158863,0.4946103,0.9000004,-0.2038708,0.5189708,0.9000003,-0.2038704,0.5189705,0.8140573,-0.1632036,0.5452088,0.7119455,0.085943,2.02403E+17
3,C_HumanVertical,1,0,0.2250001,0.5580002,0.9000006,0.2254078,0.5816546,0.8998604,0.2254079,0.581654,0.8070247,0.2172915,0.5909338,0.6946992,0.09283576,2.02403E+17
3,C_HumanVertical,1,5,-0.2158863,0.6213899,0.9000003,-0.2091232,0.6386796,0.8996772,-0.2091236,0.63868,0.7997041,-0.1645545,0.6488973,0.6963686,0.09997299,2.02403E+17
3,C_HumanVertical,1,10,0.1892819,0.4363559,0.9000005,0.1646362,0.4488743,0.9000005,0.1646363,0.4488738,0.8104647,0.1787495,0.4716684,0.7006912,0.08953582,2.02403E+17
3,C_HumanVertical,1,4,-0.1473439,0.7280439,0.9000004,-0.1240044,0.723766,0.8998766,-0.1240041,0.723766,0.8043125,-0.1182713,0.7347277,0.6919914,0.09556405,2.02403E+17
3,C_HumanVertical,1,9,0.09346823,0.3533327,0.9000005,0.1046365,0.3289235,0.9000005,0.1046369,0.328923,0.8045523,0.1422732,0.3541514,0.7010338,0.0954482,2.02403E+17
3,C_HumanVertical,2,3,-0.032021,0.7807101,0.9000004,-0.02512336,0.7785826,0.8995343,-0.02512398,0.7785822,0.7997502,-0.01519687,0.764254,0.6881029,0.09978411,2.02403E+17
3,C_HumanVertical,2,8,-0.0320211,0.3352901,0.9000004,-0.007298693,0.331367,0.9000004,-0.007298329,0.3313665,0.8133464,0.03777838,0.3633581,0.7147889,0.08665396,2.02403E+17
3,C_HumanVertical,2,2,0.0934683,0.7626675,0.9000004,0.1034576,0.7595789,0.8995569,0.1034573,0.7595786,0.7999036,0.09546895,0.7495797,0.6876305,0.09965325,2.02403E+17
3,C_HumanVertical,2,7,-0.1473439,0.3879564,0.9000005,-0.1526828,0.3635282,0.9000005,-0.1526824,0.3635279,0.8090091,-0.1072028,0.4053829,0.7144112,0.09099135,2.02403E+17
3,C_HumanVertical,2,1,0.1892821,0.6796446,0.9000005,0.1708463,0.7043496,0.9000005,0.1708467,0.7043494,0.8005368,0.1681868,0.6980708,0.6877427,0.09946369,2.02403E+17
3,C_HumanVertical,2,6,-0.2158863,0.4946103,0.9000004,-0.1983834,0.510475,0.8998712,-0.1983832,0.5104756,0.7999594,-0.1309721,0.5139291,0.709335,0.0999118,2.02403E+17
3,C_HumanVertical,2,0,0.2250001,0.5580002,0.9000006,0.2124706,0.5818732,0.9000006,0.2124709,0.5818726,0.8010387,0.2021186,0.609429,0.6919402,0.09896179,2.02403E+17
