condition,tlx_item,tlx_mean,lower,upper
Baseline,Mental Demand,7.75,6.679563951777906,8.820436048222094
HumanHorizontal,Mental Demand,7.375,6.346753110062244,8.403246889937755
HumanVertical,Mental Demand,6.791666666666667,5.968586628764963,7.614746704568371
RobotHorizontal,Mental Demand,8.25,7.307351095835921,9.192648904164079
Baseline,Physical Demand,9.416666666666666,8.420447970384943,10.412885362948389
HumanHorizontal,Physical Demand,10.125,9.279482192784302,10.970517807215698
HumanVertical,Physical Demand,9.041666666666666,8.07392769369577,10.009405639637562
RobotHorizontal,Physical Demand,10.666666666666666,9.704207055869693,11.629126277463639
Baseline,Temporal Demand,6.375,5.258891822551185,7.491108177448815
HumanHorizontal,Temporal Demand,5.958333333333333,5.080921199191061,6.835745467475605
HumanVertical,Temporal Demand,5.375,4.665814664153502,6.084185335846498
RobotHorizontal,Temporal Demand,6.375,5.496899901714676,7.253100098285324
Baseline,Performance,5.458333333333333,4.495285697547714,6.421380969118952
HumanHorizontal,Performance,5.166666666666667,4.387251550887332,5.946081782446002
HumanVertical,Performance,6.333333333333333,5.31241681794093,7.354249848725736
RobotHorizontal,Performance,5.25,4.56833005564021,5.93166994435979
Baseline,Effort,8.583333333333334,7.585297823330281,9.581368843336387
HumanHorizontal,Effort,8.375,7.3899440904560105,9.36005590954399
HumanVertical,Effort,7.083333333333333,6.234385419509126,7.93228124715754
RobotHorizontal,Effort,9.291666666666666,8.310911325795487,10.272422007537845
Baseline,Frustration,6.0,4.7460208262830115,7.2539791737169885
HumanHorizontal,Frustration,5.458333333333333,4.506639255198196,6.41002741146847
HumanVertical,Frustration,4.416666666666667,3.548725852994071,5.284607480339263
RobotHorizontal,Frustration,5.708333333333333,4.652845317441717,6.7638213492249495
