pid,condition,difficulty,tlx_mental,tlx_physical,tlx_hurried,tlx_successful,tlx_hard,tlx_insecure,tlx_ave,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_ave,owner_ave,agency_ave,gender,age,video_games,mixed_reality,interact_robot,coordination
4,C,2.0,9.0,14.0,6.0,5.0,5.0,7.0,7.666666666666667,6.0,6.0,6.0,5.0,6.0,6.0,5.833333333333333,6.0,5.75,Male,25,4,1,1,2
4,B,1.0,7.0,10.0,4.0,5.0,9.0,4.0,6.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Male,25,4,1,1,2
5,A,7.0,18.0,16.0,10.0,11.0,16.0,18.0,14.833333333333334,1.0,1.0,2.0,3.0,4.0,2.0,2.1666666666666665,1.0,2.75,Female,24,4,2,2,3
5,B,3.0,10.0,12.0,10.0,10.0,10.0,7.0,9.833333333333334,5.0,5.0,4.0,6.0,5.0,6.0,5.166666666666667,5.0,5.25,Female,24,4,2,2,3
5,C,1.0,3.0,3.0,3.0,1.0,4.0,20.0,5.666666666666667,6.0,6.0,7.0,7.0,7.0,7.0,6.666666666666667,6.0,7.0,Female,24,4,2,2,3
5,D,3.0,5.0,9.0,5.0,1.0,9.0,7.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.333333333333333,5.0,5.5,Female,24,4,2,2,3
6,A,4.0,12.0,14.0,5.0,3.0,12.0,1.0,7.833333333333333,3.0,3.0,5.0,5.0,6.0,5.0,4.5,3.0,5.25,Female,19,5,1,1,2
6,C,4.0,9.0,12.0,3.0,3.0,12.0,1.0,6.666666666666667,4.0,3.0,4.0,5.0,6.0,4.0,4.333333333333333,3.5,4.75,Female,19,5,1,1,2
6,B,4.0,8.0,12.0,1.0,3.0,9.0,1.0,5.666666666666667,4.0,4.0,5.0,5.0,5.0,5.0,4.666666666666667,4.0,5.0,Female,19,5,1,1,2
6,D,4.0,7.0,8.0,1.0,3.0,9.0,1.0,4.833333333333333,4.0,4.0,5.0,6.0,6.0,5.0,5.0,4.0,5.5,Female,19,5,1,1,2
7,A,2.0,3.0,7.0,12.0,3.0,11.0,2.0,6.333333333333333,6.0,7.0,5.0,6.0,6.0,6.0,6.0,6.5,5.75,Male,30,3,1,1,3
7,C,1.0,4.0,4.0,3.0,5.0,3.0,2.0,3.5,7.0,6.0,6.0,6.0,6.0,6.0,6.166666666666667,6.5,6.0,Male,30,3,1,1,3
