ParticipantID,Condition,Trial,TargetID,Target_Position_X,Target_Position_Y,Target_Position_Z,Selection_Position_X,Selection_Position_Y,Selection_Position_Z,GripperTip_Position_X,GripperTip_Position_Y,GripperTip_Position_Z,Gripper_Position_X,Gripper_Position_Y,Gripper_Position_Z,Distance_Tip_to_Disk,Timestamp
12,B_HumanHorizontal,1,3,-0.03202106,0.78071,0.9000002,-0.03688212,0.7560303,0.9000002,-0.03688154,0.7560297,0.8177522,-0.03543779,0.7286468,0.7081296,0.08224795,2.02403E+17
12,B_HumanHorizontal,1,8,-0.03202115,0.3352902,0.9000002,-0.0338756,0.3592901,0.8998864,-0.03387535,0.3592905,0.8237674,-0.008098517,0.3971399,0.7204623,0.07611893,2.02403E+17
12,B_HumanHorizontal,1,2,0.09346817,0.7626672,0.9000002,0.09331321,0.7759187,0.8995886,0.09331299,0.7759185,0.800064,0.08587125,0.7437829,0.6919857,0.09952466,2.02403E+17
12,B_HumanHorizontal,1,7,-0.147344,0.3879565,0.9000002,-0.1226415,0.3802409,0.9000002,-0.1226411,0.3802406,0.8521072,-0.1022771,0.4125906,0.7457691,0.0478929,2.02403E+17
12,B_HumanHorizontal,1,1,0.1892819,0.6796443,0.9000002,0.1812064,0.6816639,0.8995429,0.1812063,0.681664,0.7996178,0.1681214,0.66609,0.6884637,0.09992507,2.02403E+17
12,B_HumanHorizontal,1,6,-0.2158863,0.4946103,0.9000001,-0.1915425,0.5086462,0.9000002,-0.191542,0.5086457,0.8557205,-0.1671084,0.5206064,0.7460441,0.04427966,2.02403E+17
12,B_HumanHorizontal,1,0,0.2249999,0.5580001,0.9000002,0.2415109,0.58087,0.9000002,0.2415114,0.5808697,0.8000382,0.2325284,0.5801747,0.6873981,0.09996197,2.02403E+17
12,B_HumanHorizontal,1,5,-0.2158862,0.62139,0.9000002,-0.1914229,0.5988429,0.9000002,-0.1914225,0.5988423,0.8498906,-0.1785994,0.6006408,0.737635,0.05010947,2.02403E+17
12,B_HumanHorizontal,1,10,0.1892818,0.4363558,0.9000003,0.1647621,0.4467102,0.9000002,0.1647626,0.4467097,0.818974,0.1666611,0.47029,0.708478,0.08102623,2.02403E+17
12,B_HumanHorizontal,1,4,-0.1473439,0.7280437,0.9000002,-0.1309104,0.7038859,0.9000002,-0.1309098,0.7038854,0.8086065,-0.1160934,0.6925368,0.6971585,0.09139372,2.02403E+17
12,B_HumanHorizontal,1,9,0.09346811,0.3533329,0.9000002,0.0908449,0.377582,0.8999453,0.09084546,0.3775823,0.8199173,0.1004199,0.4134034,0.7131738,0.08002804,2.02403E+17
12,B_HumanHorizontal,2,3,-0.03202099,0.7807098,0.9,-0.04821932,0.7865788,0.8996444,-0.04821961,0.7865785,0.799736,-0.05140281,0.7547461,0.6913593,0.09990843,2.02403E+17
12,B_HumanHorizontal,2,8,-0.03202103,0.3352901,0.9,-0.05635365,0.324729,0.9000001,-0.05635333,0.3247287,0.8015008,-0.03069621,0.3670484,0.6999145,0.09849929,2.02403E+17
12,B_HumanHorizontal,2,2,0.09346828,0.762667,0.9000001,0.116382,0.7485917,0.9000002,0.1163823,0.7485913,0.8001853,0.09788001,0.7236605,0.691534,0.0998148,2.02403E+17
12,B_HumanHorizontal,2,7,-0.1473438,0.3879563,0.9,-0.1589533,0.3989273,0.8996303,-0.1589533,0.3989277,0.8002565,-0.1286063,0.4325846,0.6967419,0.09937377,2.02403E+17
12,B_HumanHorizontal,2,1,0.189282,0.679644,0.9000002,0.1819233,0.6912805,0.8995959,0.1819233,0.6912803,0.7997407,0.1630596,0.6742263,0.6896392,0.09985515,2.02403E+17
12,B_HumanHorizontal,2,6,-0.2158861,0.4946101,0.9000001,-0.1925048,0.51612,0.9,-0.1925045,0.5161196,0.8448654,-0.1723916,0.5265759,0.7341624,0.05513461,2.02403E+17
12,B_HumanHorizontal,2,0,0.2249999,0.5579999,0.9000001,0.227145,0.5510318,0.8995346,0.2271453,0.5510314,0.7999656,0.213592,0.5549319,0.6878491,0.09956891,2.02403E+17
12,B_HumanHorizontal,2,5,-0.2158861,0.6213898,0.9000002,-0.1920487,0.6311558,0.9000001,-0.1920482,0.6311555,0.8164469,-0.1777628,0.6276241,0.7044092,0.08355315,2.02403E+17
12,B_HumanHorizontal,2,10,0.1892819,0.4363557,0.9000002,0.2141853,0.4141533,0.9000002,0.2141857,0.4141531,0.8229551,0.1999275,0.4395085,0.7137635,0.07704513,2.02403E+17
12,B_HumanHorizontal,2,4,-0.1473438,0.7280436,0.9000002,-0.1463996,0.7047012,0.8998291,-0.1464002,0.7047012,0.8111405,-0.1584,0.6877216,0.7000699,0.08868857,2.02403E+17
12,B_HumanHorizontal,2,9,0.09346813,0.3533326,0.9,0.06894596,0.3539888,0.8999054,0.06894603,0.3539889,0.8205405,0.07450678,0.3946333,0.7152499,0.07936483,2.02403E+17
12,C_HumanVertical,1,3,-0.03202099,0.7807098,0.9,-0.02350489,0.7732693,0.8995612,-0.02350523,0.7732692,0.7997295,-0.01859552,0.7457503,0.6902416,0.09983173,2.02403E+17
12,C_HumanVertical,1,8,-0.03202103,0.3352901,0.9,-0.04381222,0.3599217,0.9000001,-0.04381185,0.3599213,0.8039095,-0.01644916,0.4002161,0.7019457,0.09609059,2.02403E+17
12,C_HumanVertical,1,2,0.09346828,0.762667,0.9000001,0.08548979,0.7656819,0.8995372,0.08548965,0.7656815,0.7997128,0.07591242,0.7393132,0.6902505,0.09982441,2.02403E+17
12,C_HumanVertical,1,7,-0.1473438,0.3879563,0.9,-0.1406645,0.3644975,0.8999441,-0.1406644,0.3644979,0.8196603,-0.1079339,0.4043858,0.7191282,0.0802838,2.02403E+17
12,C_HumanVertical,1,1,0.189282,0.679644,0.9000002,0.2046816,0.6900047,0.899676,0.2046816,0.6900043,0.8004813,0.192356,0.6719722,0.6896123,0.09919465,2.02403E+17
12,C_HumanVertical,1,6,-0.2158861,0.4946101,0.9000001,-0.1910672,0.492492,0.9000001,-0.1910668,0.492492,0.8562386,-0.1618756,0.5077564,0.7481469,0.04376143,2.02403E+17
12,C_HumanVertical,1,0,0.2249999,0.5579999,0.9000001,0.2091024,0.5468054,0.8996955,0.2091027,0.5468053,0.7998669,0.2037541,0.5517638,0.6871024,0.09982868,2.02403E+17
12,C_HumanVertical,1,5,-0.2158861,0.6213898,0.9000002,-0.1948905,0.6461331,0.9000001,-0.1948902,0.6461327,0.8103505,-0.178006,0.6437753,0.6986439,0.08964957,2.02403E+17
12,C_HumanVertical,1,10,0.1892819,0.4363557,0.9000002,0.1786833,0.4594252,0.9000001,0.1786836,0.4594248,0.8181968,0.178197,0.4772846,0.7066182,0.0818033,2.02403E+17
12,C_HumanVertical,1,4,-0.1473438,0.7280436,0.9000002,-0.1231959,0.7190858,0.9,-0.1231955,0.7190856,0.813633,-0.1121886,0.7012117,0.7025998,0.08636701,2.02403E+17
12,C_HumanVertical,1,9,0.09346813,0.3533326,0.9,0.08569717,0.3782442,0.9000001,0.08569751,0.3782438,0.8023055,0.09864386,0.4127622,0.6954882,0.0976946,2.02403E+17
12,C_HumanVertical,2,3,-0.03202099,0.7807098,0.9,-0.03171574,0.7860064,0.8995229,-0.03171606,0.7860059,0.799832,-0.04306683,0.7604223,0.690353,0.09969089,2.02403E+17
12,C_HumanVertical,2,8,-0.03202103,0.3352901,0.9,-0.05309946,0.3150494,0.9000001,-0.05309917,0.315049,0.8004252,-0.03661593,0.3671145,0.7014986,0.09957489,2.02403E+17
12,C_HumanVertical,2,2,0.09346828,0.762667,0.9000001,0.06889816,0.7583254,0.9000001,0.06889851,0.758325,0.8039595,0.04997918,0.7375755,0.6945039,0.09604058,2.02403E+17
12,C_HumanVertical,2,7,-0.1473438,0.3879563,0.9,-0.1329047,0.363484,0.9000002,-0.1329044,0.3634836,0.8348647,-0.1135269,0.405367,0.7317177,0.06513542,2.02403E+17
12,C_HumanVertical,2,1,0.189282,0.679644,0.9000002,0.1644237,0.6991769,0.9000001,0.1644241,0.6991765,0.821173,0.1477283,0.6813306,0.7108474,0.07882707,2.02403E+17
12,C_HumanVertical,2,6,-0.2158861,0.4946101,0.9000001,-0.2073039,0.4823968,0.8996112,-0.207304,0.482397,0.799964,-0.1911134,0.5080591,0.6911139,0.0996472,2.02403E+17
12,C_HumanVertical,2,0,0.2249999,0.5579999,0.9000001,0.2154332,0.5808328,0.9000001,0.2154335,0.5808323,0.8002463,0.2002596,0.5862546,0.6884011,0.09975377,2.02403E+17
12,C_HumanVertical,2,5,-0.2158861,0.6213898,0.9000002,-0.1988149,0.5966898,0.9,-0.1988145,0.5966893,0.8471783,-0.1855364,0.5969257,0.7349614,0.05282176,2.02403E+17
12,C_HumanVertical,2,10,0.1892819,0.4363557,0.9000002,0.1677427,0.4582367,0.9000001,0.167743,0.4582362,0.8013203,0.1667316,0.4814351,0.6907318,0.09867974,2.02403E+17
12,C_HumanVertical,2,4,-0.1473438,0.7280436,0.9000002,-0.1695589,0.7047803,0.9000001,-0.1695584,0.7047799,0.8054975,-0.1601854,0.6895491,0.6939216,0.09450261,2.02403E+17
12,C_HumanVertical,2,9,0.09346813,0.3533326,0.9,0.09215249,0.3703044,0.8996437,0.09215256,0.3703045,0.8011003,0.1045417,0.4026383,0.6935363,0.09854335,2.02403E+17
12,D_RobotHorizontal,1,3,-0.03202099,0.7807098,0.9,-0.0172189,0.7592329,0.9000002,-0.01721851,0.7592328,0.8011073,-0.01340615,0.7348323,0.690839,0.09889284,2.02403E+17
12,D_RobotHorizontal,1,8,-0.03202103,0.3352901,0.9,-0.02245427,0.3600045,0.9000001,-0.02245395,0.3600042,0.8056319,0.002329721,0.398636,0.7023733,0.09436813,2.02403E+17
