ParticipantID,Condition,Trial,TargetID,Target_Position_X,Target_Position_Y,Target_Position_Z,Selection_Position_X,Selection_Position_Y,Selection_Position_Z,GripperTip_Position_X,GripperTip_Position_Y,GripperTip_Position_Z,Gripper_Position_X,Gripper_Position_Y,Gripper_Position_Z,Distance_Tip_to_Disk,Timestamp
6,C_HumanVertical,1,1,0.189282,0.6796443,0.9000001,0.2057775,0.6558679,0.9,0.2057776,0.6558679,0.8284686,0.1756482,0.6287135,0.7229987,0.07153147,2.02403E+17
6,C_HumanVertical,1,6,-0.2158861,0.4946103,0.9,-0.2137125,0.4703647,0.8998989,-0.2137125,0.4703646,0.8032978,-0.1857724,0.4740887,0.6938698,0.09660106,2.02403E+17
6,C_HumanVertical,1,0,0.2249999,0.5580002,0.9,0.2005576,0.5446744,0.9000001,0.2005574,0.5446743,0.840099,0.1747615,0.5324966,0.7307588,0.0599011,2.02403E+17
6,C_HumanVertical,1,5,-0.215886,0.62139,0.9,-0.2203454,0.5966563,0.9,-0.2203454,0.5966561,0.821326,-0.2009981,0.576034,0.7119213,0.07867405,2.02403E+17
6,C_HumanVertical,1,10,0.1892818,0.4363559,0.9000001,0.1717231,0.4594647,0.9000001,0.1717231,0.4594645,0.8128102,0.156315,0.4598997,0.7008663,0.08718988,2.02403E+17
6,C_HumanVertical,1,4,-0.1473437,0.7280438,0.9000001,-0.1330857,0.7035022,0.9000001,-0.1330858,0.7035023,0.8225458,-0.1441015,0.6744088,0.7139122,0.07745423,2.02403E+17
6,C_HumanVertical,1,9,0.09346822,0.353333,0.9,0.0741836,0.3623389,0.8997477,0.07418393,0.3623391,0.7998033,0.07093395,0.3758284,0.6876585,0.09994441,2.02403E+17
6,C_HumanVertical,2,3,-0.03202092,0.78071,0.9000001,-0.03019627,0.7658489,0.8996053,-0.0301967,0.7658486,0.7996356,-0.06054192,0.734887,0.6952826,0.09996969,2.02403E+17
6,C_HumanVertical,2,8,-0.03202099,0.3352903,0.9,-0.03809822,0.3597363,0.9,-0.03809825,0.3597362,0.812378,-0.05349125,0.3722921,0.7011377,0.08762203,2.02403E+17
6,C_HumanVertical,2,2,0.09346832,0.7626674,0.9,0.08796607,0.741787,0.8997658,0.08796614,0.741787,0.8000657,0.06743648,0.7061592,0.6948127,0.0997002,2.02403E+17
6,C_HumanVertical,2,7,-0.1473437,0.3879566,0.9,-0.1348476,0.4097558,0.9,-0.1348475,0.4097558,0.8617476,-0.1294001,0.419338,0.7492865,0.03825246,2.02403E+17
6,C_HumanVertical,2,1,0.189282,0.6796443,0.9000001,0.214049,0.6909853,0.9000001,0.2140491,0.6909852,0.8103796,0.1786212,0.6586181,0.7080749,0.08962053,2.02403E+17
6,C_HumanVertical,2,6,-0.2158861,0.4946103,0.9,-0.20902,0.5194179,0.9,-0.2090202,0.5194178,0.8295655,-0.207947,0.5045901,0.7175476,0.07043453,2.02403E+17
6,C_HumanVertical,2,0,0.2249999,0.5580002,0.9,0.2240558,0.5331932,0.8999815,0.2240559,0.5331936,0.8219552,0.181678,0.5212368,0.7178872,0.07802634,2.02403E+17
6,C_HumanVertical,2,5,-0.215886,0.62139,0.9,-0.2407427,0.609778,0.9,-0.2407428,0.609778,0.8298444,-0.2332674,0.5784824,0.7215219,0.0701557,2.02403E+17
6,C_HumanVertical,2,10,0.1892818,0.4363559,0.9000001,0.1732533,0.4603539,0.9,0.1732533,0.4603539,0.8762165,0.1349599,0.4621137,0.7699172,0.02378351,2.02403E+17
6,C_HumanVertical,2,4,-0.1473437,0.7280438,0.9000001,-0.1565222,0.7040063,0.9,-0.1565223,0.7040061,0.8249256,-0.1702348,0.6714352,0.7175936,0.07507446,2.02403E+17
6,C_HumanVertical,2,9,0.09346822,0.353333,0.9,0.06959122,0.3566673,0.8999023,0.06959156,0.3566675,0.8583524,0.05223002,0.3788379,0.7489173,0.04154994,2.02403E+17
6,B_HumanHorizontal,1,3,-0.03202092,0.78071,0.9000001,-0.0202091,0.7931879,0.8996463,-0.02020939,0.7931879,0.79971,-0.04461582,0.7611671,0.6941261,0.09993625,2.02403E+17
6,B_HumanHorizontal,1,8,-0.03202099,0.3352903,0.9,-0.05573489,0.3436259,0.9000001,-0.0557349,0.3436259,0.8222679,-0.04564143,0.3830117,0.7168361,0.07773223,2.02403E+17
6,B_HumanHorizontal,1,2,0.09346832,0.7626674,0.9,0.1080722,0.7383506,0.9000001,0.108072,0.7383507,0.8069516,0.08606233,0.6971949,0.7040403,0.09304851,2.02403E+17
6,B_HumanHorizontal,1,7,-0.1473437,0.3879566,0.9,-0.1352441,0.4114514,0.9,-0.1352441,0.4114513,0.837035,-0.1177218,0.4194783,0.7256908,0.06296501,2.02403E+17
6,B_HumanHorizontal,1,1,0.189282,0.6796443,0.9000001,0.194926,0.7041956,0.9,0.1949261,0.7041956,0.8413655,0.1447246,0.6681632,0.7467583,0.05863461,2.02403E+17
6,B_HumanHorizontal,1,6,-0.2158861,0.4946103,0.9,-0.2036619,0.5194688,0.9,-0.2036619,0.5194686,0.8327036,-0.2100572,0.5181826,0.719892,0.06729636,2.02403E+17
6,B_HumanHorizontal,1,0,0.2249999,0.5580002,0.9,0.214678,0.5822524,0.9,0.2146781,0.5822521,0.8037158,0.1864226,0.573638,0.6946449,0.09628426,2.02403E+17
6,B_HumanHorizontal,1,5,-0.215886,0.62139,0.9,-0.2132602,0.5989095,0.8997957,-0.2132602,0.5989097,0.7998581,-0.2087826,0.5846745,0.6878476,0.09993758,2.02403E+17
6,B_HumanHorizontal,1,10,0.1892818,0.4363559,0.9000001,0.1965987,0.4305521,0.899551,0.1965989,0.4305522,0.8454332,0.1682709,0.4392093,0.7363847,0.05411781,2.02403E+17
6,B_HumanHorizontal,1,4,-0.1473437,0.7280438,0.9000001,-0.1425476,0.7143388,0.8995995,-0.1425482,0.7143387,0.8000456,-0.1368073,0.6816944,0.692016,0.09955388,2.02403E+17
6,B_HumanHorizontal,1,9,0.09346822,0.353333,0.9,0.1027391,0.332118,0.8998259,0.1027394,0.3321183,0.846292,0.09019244,0.3564934,0.7366678,0.05353388,2.02403E+17
6,B_HumanHorizontal,2,3,-0.03202092,0.7807101,0.9000002,-0.01832613,0.8045741,0.9000002,-0.01832611,0.804574,0.8093231,-0.055237,0.7669392,0.7093719,0.09067716,2.02403E+17
6,B_HumanHorizontal,2,8,-0.03202108,0.3352904,0.9000002,-0.02562232,0.3600236,0.9000002,-0.02562235,0.3600234,0.8292716,-0.03008904,0.4017085,0.7243361,0.07072856,2.02403E+17
6,B_HumanHorizontal,2,2,0.09346829,0.7626674,0.9000002,0.1170587,0.7660426,0.8998757,0.1170586,0.7660424,0.8014621,0.0847711,0.7404088,0.6962507,0.09841355,2.02403E+17
6,B_HumanHorizontal,2,7,-0.1473439,0.3879566,0.9000003,-0.1694083,0.3636066,0.9000002,-0.1694083,0.3636065,0.8332988,-0.1596711,0.3980394,0.7261142,0.0667014,2.02403E+17
6,B_HumanHorizontal,2,1,0.189282,0.6796443,0.9000003,0.1857963,0.7043778,0.9000003,0.1857962,0.7043776,0.820036,0.1416772,0.677943,0.7194192,0.07996426,2.02403E+17
6,B_HumanHorizontal,2,6,-0.2158861,0.4946104,0.9000002,-0.2100831,0.5195092,0.9000001,-0.210083,0.5195088,0.8504008,-0.206932,0.5139228,0.7375829,0.04959929,2.02403E+17
6,B_HumanHorizontal,2,0,0.2249999,0.5580001,0.9000002,0.2470952,0.5443933,0.9000003,0.2470951,0.544393,0.8337967,0.1962396,0.5399746,0.7329839,0.06620369,2.02403E+17
6,B_HumanHorizontal,2,5,-0.2158861,0.6213902,0.9000001,-0.1948744,0.6073602,0.9000002,-0.1948744,0.6073602,0.8538622,-0.1987244,0.585127,0.7431378,0.04613799,2.02403E+17
6,B_HumanHorizontal,2,10,0.1892819,0.4363559,0.9000002,0.2036946,0.4139742,0.9000003,0.2036946,0.4139739,0.8602016,0.1604769,0.4257537,0.7564592,0.03979865,2.02403E+17
6,B_HumanHorizontal,2,4,-0.1473438,0.7280439,0.9000002,-0.1382183,0.7036161,0.9000002,-0.1382183,0.703616,0.81227,-0.1461731,0.6716306,0.7041836,0.0877302,2.02403E+17
6,B_HumanHorizontal,2,9,0.09346815,0.353333,0.9000003,0.07305441,0.3310276,0.9000002,0.07305443,0.3310274,0.8310477,0.04087674,0.3537574,0.7251376,0.06895246,2.02403E+17
6,B_HumanHorizontal,3,3,-0.03202092,0.7807101,0.9000002,-0.00859532,0.7817715,0.8998459,-0.008595363,0.7817715,0.7999066,-0.01340752,0.7377606,0.6959408,0.09993929,2.02403E+17
6,B_HumanHorizontal,3,8,-0.03202108,0.3352904,0.9000002,-0.01101225,0.3150263,0.9000002,-0.01101222,0.3150261,0.8635675,-0.01052422,0.3406622,0.7535149,0.0364327,2.02403E+17
6,B_HumanHorizontal,3,2,0.09346829,0.7626674,0.9000002,0.1165754,0.7571459,0.8998823,0.1165753,0.7571457,0.8009005,0.09788021,0.7189384,0.6962118,0.09898181,2.02403E+17
6,B_HumanHorizontal,3,7,-0.1473439,0.3879566,0.9000003,-0.1225516,0.3927616,0.9000002,-0.1225516,0.3927615,0.8351769,-0.1040138,0.4111241,0.7252309,0.06482328,2.02403E+17
