ParticipantID,Condition,Trial,TargetID,Target_Position_X,Target_Position_Y,Target_Position_Z,Selection_Position_X,Selection_Position_Y,Selection_Position_Z,GripperTip_Position_X,GripperTip_Position_Y,GripperTip_Position_Z,Gripper_Position_X,Gripper_Position_Y,Gripper_Position_Z,Distance_Tip_to_Disk,Timestamp,
9,A_Baseline,1,3,-0.03202105,0.7807098,0.9000002,-0.03348218,0.786806,0.8995264,-0.03348233,0.7868057,0.8000233,-0.04053648,0.771237,0.6883234,0.09950309,202403271645550455,
9,A_Baseline,1,8,-0.03202109,0.3352903,0.9000002,-0.02258546,0.3582957,0.9000002,-0.02258526,0.358296,0.8410876,-0.04024774,0.395844,0.735982,0.05891261,202403271646119672,
9,A_Baseline,1,2,0.09346821,0.7626672,0.9000002,0.09901959,0.7397426,0.89986,0.09901977,0.7397425,0.8003049,0.055835,0.7521847,0.6966262,0.09955507,202403271646285195,
9,A_Baseline,1,7,-0.1473439,0.3879564,0.9000002,-0.1684265,0.3645362,0.9000001,-0.1684264,0.3645364,0.8102928,-0.1443483,0.4215063,0.7157217,0.08970729,202403271646382904,
9,A_Baseline,1,1,0.1892818,0.6796442,0.9000003,0.1858794,0.703244,0.8998823,0.1858794,0.703244,0.8119161,0.1332609,0.6979004,0.7120575,0.08796619,202403271646560336,
9,A_Baseline,1,6,-0.2158862,0.4946103,0.9000002,-0.210301,0.4703217,0.9000001,-0.210301,0.4703218,0.8561155,-0.1651143,0.4872316,0.7539334,0.04388456,202403271647140760,
9,A_Baseline,1,0,0.2249999,0.558,0.9000002,0.2001884,0.5757461,0.9000003,0.2001884,0.5757464,0.8017793,0.1613476,0.6078159,0.7006263,0.09822099,202403271650097870,
9,A_Baseline,1,5,-0.2158862,0.62139,0.9000001,-0.2045586,0.6222497,0.8995659,-0.2045589,0.6222498,0.7996678,-0.1563663,0.620305,0.6974782,0.09989808,202403271650349974,
9,A_Baseline,1,10,0.1892817,0.4363558,0.9000002,0.2007105,0.4598677,0.9000003,0.2007105,0.4598679,0.8404162,0.135419,0.505964,0.7605343,0.05958407,202403271651394853,
9,A_Baseline,1,4,-0.1473439,0.7280437,0.9000002,-0.1325339,0.7524577,0.9000002,-0.1325338,0.7524577,0.8243772,-0.143556,0.7461834,0.7120911,0.07562299,202403271652155861,
9,A_Baseline,1,9,0.09346803,0.3533328,0.9000002,0.1099911,0.3293315,0.9000002,0.1099911,0.3293318,0.8074806,0.04010928,0.3986758,0.7520105,0.0925196,202403271652292979,
9,A_Baseline,2,3,-0.03202105,0.7807098,0.9000002,-0.007220301,0.7580255,0.9000002,-0.007220243,0.7580256,0.8458136,-0.02189523,0.7737622,0.734881,0.05418657,202403271654124452,
9,A_Baseline,2,8,-0.03202109,0.3352903,0.9000002,-0.048383,0.3105244,0.9000002,-0.04838299,0.3105246,0.8027357,-0.09300099,0.4053402,0.7604482,0.09726448,202403271654251351,
9,A_Baseline,2,2,0.09346821,0.7626672,0.9000002,0.08565043,0.7871873,0.9000002,0.08565056,0.7871876,0.8022527,0.0290503,0.8086143,0.7068254,0.09774756,202403271654453785,
9,A_Baseline,2,7,-0.1473439,0.3879564,0.9000002,-0.1229612,0.3976147,0.9000002,-0.1229611,0.397615,0.8549454,-0.1238392,0.4345587,0.7481588,0.04505471,202403271655027042,
9,A_Baseline,2,1,0.1892818,0.6796442,0.9000003,0.2062709,0.6889149,0.8996962,0.2062708,0.6889148,0.7997096,0.1250517,0.7226871,0.7287735,0.09998665,202403271655136403,
