ParticipantID,Condition,Trial,TargetID,Target_Position_X,Target_Position_Y,Target_Position_Z,Selection_Position_X,Selection_Position_Y,Selection_Position_Z,GripperTip_Position_X,GripperTip_Position_Y,GripperTip_Position_Z,Gripper_Position_X,Gripper_Position_Y,Gripper_Position_Z,Distance_Tip_to_Disk,Timestamp,
2,B_HumanHorizontal,1,3,-0.03202092,0.7807098,0.9000002,-0.02007989,0.795848,0.8996909,-0.02008001,0.7958477,0.7998554,0.0009178173,0.7598491,0.6948212,0.09983552,202403261420271397,
2,B_HumanHorizontal,1,8,-0.032021,0.3352902,0.9000003,-0.02285359,0.310762,0.9000002,-0.02285321,0.310762,0.8667296,-0.006107744,0.3775212,0.7771093,0.03327065,202403261422098058,
2,B_HumanHorizontal,1,2,0.09346836,0.7626672,0.9000002,0.08062009,0.7382978,0.9000003,0.08062065,0.7382978,0.8221077,0.09660245,0.7250909,0.711026,0.07789256,202403261423244748,
2,B_HumanHorizontal,1,7,-0.1473438,0.3879563,0.9000002,-0.1272865,0.3671249,0.9000002,-0.1272862,0.3671249,0.8412221,-0.09700579,0.4137588,0.7428485,0.05877808,202403261424019894,
2,B_HumanHorizontal,1,1,0.1892819,0.6796442,0.9000002,0.1675632,0.6603026,0.9000002,0.1675637,0.6603025,0.8010622,0.1785728,0.6561409,0.6886766,0.09893806,202403261425012865,
2,B_HumanHorizontal,1,6,-0.2158862,0.4946102,0.9000002,-0.2358781,0.4803698,0.8999752,-0.2358787,0.4803701,0.800589,-0.1685123,0.4942172,0.7109281,0.09938622,202403261425170576,
2,B_HumanHorizontal,1,0,0.2249999,0.558,0.9000003,0.2185043,0.5618885,0.8995304,0.2185047,0.5618884,0.7997588,0.2349576,0.5597866,0.6879829,0.0997716,202403261427263570,
2,B_HumanHorizontal,1,5,-0.2158861,0.6213898,0.9000002,-0.2353872,0.5984827,0.9000002,-0.2353868,0.5984828,0.812824,-0.1900129,0.6107334,0.7100614,0.08717614,202403261428439240,
2,B_HumanHorizontal,1,10,0.1892819,0.4363557,0.9000002,0.1676502,0.455116,0.9000003,0.1676505,0.4551159,0.8412107,0.1887437,0.4530356,0.7302163,0.05878953,202403261429161620,
2,B_HumanHorizontal,1,4,-0.1473438,0.7280436,0.9000002,-0.123331,0.7270625,0.8999069,-0.123331,0.7270627,0.8189548,-0.1052419,0.7189347,0.7077087,0.08095205,202403261429384753,
2,B_HumanHorizontal,1,9,0.09346816,0.3533327,0.9000002,0.1101358,0.3313353,0.9000003,0.1101363,0.3313354,0.8919306,0.1248349,0.3621278,0.7842053,0.008069715,202403261429579744,
2,B_HumanHorizontal,2,3,-0.03202092,0.7807098,0.9000002,-0.05359276,0.7566797,0.9000002,-0.05359224,0.7566797,0.8230184,-0.01711905,0.7230863,0.7214792,0.07698174,202403261432110383,
2,B_HumanHorizontal,2,8,-0.032021,0.3352902,0.9000003,-0.02632666,0.3576933,0.8998332,-0.02632618,0.3576937,0.8399344,0.02694185,0.3687348,0.7408909,0.05989881,202403261432247393,
2,B_HumanHorizontal,2,2,0.09346836,0.7626672,0.9000002,0.0824692,0.7542506,0.8995914,0.08246914,0.7542505,0.800572,0.05675808,0.7431512,0.691097,0.09901951,202403261435406554,
2,B_HumanHorizontal,2,7,-0.1473438,0.3879563,0.9000002,-0.1658512,0.3642397,0.9000002,-0.1658507,0.3642395,0.8065709,-0.1463347,0.4085014,0.7044483,0.09342922,202403261436139887,
2,B_HumanHorizontal,2,1,0.1892819,0.6796442,0.9000002,0.1673053,0.6711996,0.8998644,0.1673055,0.6711997,0.800126,0.1779364,0.6587633,0.6883165,0.09973831,202403261438158229,
2,B_HumanHorizontal,2,6,-0.2158862,0.4946102,0.9000002,-0.2199621,0.4720533,0.8998187,-0.2199627,0.4720536,0.8385476,-0.1550599,0.4706619,0.7460561,0.06127105,202403261438293543,
2,B_HumanHorizontal,2,0,0.2249999,0.558,0.9000003,0.2150121,0.5367775,0.8998552,0.2150126,0.5367773,0.7999723,0.1998019,0.5598171,0.6903968,0.09988288,202403261440243287,
2,B_HumanHorizontal,2,5,-0.2158861,0.6213898,0.9000002,-0.2148882,0.6134143,0.8995391,-0.2148888,0.6134143,0.8005011,-0.1792409,0.6224912,0.6936561,0.09903798,202403261441077394,
2,B_HumanHorizontal,2,10,0.1892819,0.4363557,0.9000002,0.2131591,0.4557098,0.9000003,0.2131595,0.4557096,0.800714,0.2225991,0.4639672,0.6884121,0.09928631,202403261441182875,
2,B_HumanHorizontal,2,4,-0.1473438,0.7280436,0.9000002,-0.1312045,0.7193875,0.8996796,-0.1312046,0.7193875,0.7997323,-0.1350662,0.7044204,0.6877944,0.09994727,202403261442014218,
2,B_HumanHorizontal,2,9,0.09346816,0.3533327,0.9000002,0.09976921,0.3773654,0.9000003,0.09976961,0.3773653,0.8072376,0.1200523,0.406847,0.7000535,0.09276263,202403261442143600,
2,C_HumanVertical,1,3,-0.03202092,0.7807098,0.9000002,-0.03093034,0.7714554,0.899552,-0.03093047,0.7714552,0.799711,-0.01713479,0.7491953,0.6897874,0.09984101,202403261448176126,
2,C_HumanVertical,1,8,-0.032021,0.3352902,0.9000003,-0.02090686,0.3120921,0.9000003,-0.02090641,0.3120921,0.8600526,0.0234264,0.3391803,0.7597041,0.03994758,202403261448285700,
2,C_HumanVertical,1,2,0.09346836,0.7626672,0.9000002,0.09833999,0.7623684,0.8995182,0.09833997,0.7623685,0.801147,0.09557974,0.7452307,0.6894885,0.09837118,202403261448468767,
2,C_HumanVertical,1,7,-0.1473438,0.3879563,0.9000002,-0.1230501,0.397815,0.9000002,-0.1230497,0.397815,0.8179172,-0.09386203,0.4393449,0.7169603,0.08208293,202403261448582236,
2,C_HumanVertical,1,1,0.1892819,0.6796442,0.9000002,0.2139152,0.6821743,0.9000003,0.2139157,0.6821738,0.8161394,0.2202227,0.6535699,0.7070017,0.08386083,202403261451219935,
2,C_HumanVertical,1,6,-0.2158862,0.4946102,0.9000002,-0.2394751,0.4774633,0.9000002,-0.2394747,0.4774634,0.8113694,-0.1992326,0.5070775,0.7100156,0.08863082,202403261451281426,
2,C_HumanVertical,1,0,0.2249999,0.558,0.9000003,0.2441399,0.5351707,0.9000003,0.2441403,0.5351707,0.8067736,0.256603,0.531612,0.6945193,0.0932267,202403261451414181,
2,C_HumanVertical,1,5,-0.2158861,0.6213898,0.9000002,-0.2305857,0.622519,0.8996075,-0.2305863,0.6225191,0.8003483,-0.1857218,0.6246798,0.696659,0.09925909,202403261452259225,
2,C_HumanVertical,1,10,0.1892819,0.4363557,0.9000002,0.1644606,0.4257532,0.9000002,0.1644609,0.425753,0.8011275,0.1871896,0.4338024,0.6907297,0.0988727,202403261452503361,
2,C_HumanVertical,1,4,-0.1473438,0.7280436,0.9000002,-0.1335705,0.7516183,0.9000002,-0.1335699,0.7516184,0.804401,-0.1091135,0.7326725,0.6957182,0.09559911,202403261453026446,
2,C_HumanVertical,1,9,0.09346816,0.3533327,0.9000002,0.1064703,0.3765387,0.9000002,0.1064707,0.3765386,0.8066756,0.1378566,0.3890749,0.6988482,0.09332462,202403261453069573,
2,C_HumanVertical,2,3,-0.03202092,0.7807098,0.9000002,-0.007073928,0.779505,0.9000002,-0.007073503,0.7795048,0.8147435,-0.01072349,0.7627723,0.7030487,0.0852567,202403261454206041,
2,C_HumanVertical,2,8,-0.032021,0.3352902,0.9000003,-0.02908907,0.3135533,0.8997805,-0.02908863,0.3135538,0.8507218,-0.001301843,0.3531677,0.748606,0.04905869,202403261454302552,
2,C_HumanVertical,2,2,0.09346836,0.7626672,0.9000002,0.1011108,0.7858463,0.899978,0.1011107,0.7858463,0.8007981,0.1080968,0.7453662,0.6955289,0.09917992,202403261454572366,
2,C_HumanVertical,2,7,-0.1473438,0.3879563,0.9000002,-0.1572271,0.3709248,0.8997086,-0.1572272,0.3709248,0.8868108,-0.1137474,0.3975163,0.7859577,0.01289779,202403261455052875,
2,C_HumanVertical,2,1,0.1892819,0.6796442,0.9000002,0.2067474,0.6587464,0.9000003,0.2067478,0.6587463,0.8095087,0.2163428,0.6316072,0.7002367,0.09049159,202403261455255192,
2,C_HumanVertical,2,6,-0.2158862,0.4946102,0.9000002,-0.2232868,0.4817364,0.8996121,-0.2232873,0.4817368,0.7996891,-0.1639268,0.4960697,0.7046108,0.09992304,202403261455583338,
2,C_HumanVertical,2,0,0.2249999,0.558,0.9000003,0.2017643,0.5753869,0.9000003,0.2017646,0.5753871,0.8023375,0.2122548,0.565598,0.6902522,0.09766275,202403261456486351,
2,C_HumanVertical,2,5,-0.2158861,0.6213898,0.9000002,-0.2107797,0.6121944,0.8995622,-0.2107804,0.6121945,0.8007867,-0.1506208,0.6095237,0.7051694,0.09877547,202403261457077228,
2,C_HumanVertical,2,10,0.1892819,0.4363557,0.9000002,0.1882246,0.4578653,0.8997607,0.1882249,0.4578652,0.8042746,0.2123519,0.4450023,0.6946322,0.09548617,202403261457211526,
2,C_HumanVertical,2,4,-0.1473438,0.7280436,0.9000002,-0.1517393,0.725237,0.8995213,-0.1517394,0.725237,0.8006672,-0.1150077,0.7030728,0.6961275,0.09885408,202403261458138280,
2,C_HumanVertical,2,9,0.09346816,0.3533327,0.9000002,0.08863024,0.3750941,0.8997967,0.08863033,0.375094,0.8169607,0.1230601,0.3862857,0.7099171,0.08283597,202403261458235197,
