ParticipantID,Condition,Trial,PostureID,J1,J2,J3,J4,J5,J6,J7,Timestamp,
2-18,A_Baseline,1,Q1FrontDown,-50.12555,42.06068,85.23874,-33.73793,-143.0258,144.0328,-23.37844,202408261527123959,
2-18,A_Baseline,1,Q1FrontDown,-50.12606,42.06066,85.23891,-33.73786,-143.0259,144.0329,-23.37842,202408261527124366,
2-18,A_Baseline,1,Q1FrontDown,-50.12646,42.06076,85.2388,-33.73812,-143.0257,144.0327,-23.37823,202408261527124688,
2-18,A_Baseline,1,Q1FrontDown,-50.12646,42.06076,85.2388,-33.73812,-143.0257,144.0327,-23.37823,202408261527124866,
2-18,A_Baseline,1,Q1FrontDown,-50.12676,42.06076,85.23914,-33.73789,-143.0258,144.0329,-23.37806,202408261527125049,
2-18,A_Baseline,1,Q1FrontDown,-50.12676,42.06076,85.23914,-33.73789,-143.0258,144.0329,-23.37806,202408261527125225,
2-18,A_Baseline,1,Q1FrontDown,-50.13232,42.06056,85.23861,-33.74429,-143.0188,144.033,-23.37823,202408261527125560,
2-18,A_Baseline,1,Q1FrontDown,-50.13232,42.06056,85.23861,-33.74429,-143.0188,144.033,-23.37823,202408261527125760,
2-18,A_Baseline,1,Q1FrontDown,-50.13733,42.06087,85.2383,-33.7515,-143.0132,144.0332,-23.3784,202408261527126001,
2-18,A_Baseline,1,Q1FrontDown,-50.14031,42.06066,85.23795,-33.75439,-143.0069,144.0338,-23.3785,202408261527126179,
2-18,A_Baseline,1,Q1FrontDown,-50.14348,42.06064,85.23791,-33.75602,-142.997,144.0339,-23.37852,202408261527126480,
2-18,A_Baseline,1,Q1FrontDown,-50.14571,42.06059,85.23798,-33.75672,-142.9902,144.034,-23.37834,202408261527126833,
2-18,A_Baseline,1,Q1FrontDown,-50.14622,42.0604,85.23787,-33.75889,-142.9875,144.0344,-23.37858,202408261527127139,
2-18,A_Baseline,1,Q1FrontDown,-50.14622,42.0604,85.23787,-33.75889,-142.9875,144.0344,-23.37858,202408261527127322,
2-18,A_Baseline,1,Q1FrontDown,-50.14798,42.06071,85.238,-33.76004,-142.9858,144.0347,-23.37839,202408261527127483,
2-18,A_Baseline,1,Q1FrontDown,-50.14798,42.06071,85.238,-33.76004,-142.9858,144.0347,-23.37839,202408261527127676,
2-18,A_Baseline,1,Q1FrontDown,-50.1495,42.06061,85.23767,-33.76189,-142.985,144.0346,-23.37869,202408261527127910,
2-18,A_Baseline,1,Q1FrontDown,-50.15191,42.06056,85.23784,-33.76508,-142.9846,144.0349,-23.37831,202408261527128183,
2-18,A_Baseline,1,Q1FrontDown,-50.15792,42.06087,85.23768,-33.77205,-142.9844,144.0351,-23.37818,202408261527128398,
2-18,A_Baseline,1,Q1FrontDown,-50.15792,42.06087,85.23768,-33.77205,-142.9844,144.0351,-23.37818,202408261527128662,
2-18,A_Baseline,1,Q1FrontDown,-50.16424,42.0605,85.23764,-33.7792,-142.9839,144.0352,-23.37858,202408261527128831,
2-18,A_Baseline,1,Q1FrontDown,-50.17018,42.06056,85.23756,-33.784,-142.9835,144.0352,-23.37847,202408261527129049,
2-18,A_Baseline,1,Q1FrontDown,-50.17018,42.06056,85.23756,-33.784,-142.9835,144.0352,-23.37847,202408261527129298,
2-18,A_Baseline,1,Q1FrontDown,-50.17561,42.0607,85.23768,-33.78665,-142.9831,144.0354,-23.37864,202408261527129485,
2-18,A_Baseline,1,Q1FrontDown,-50.17561,42.0607,85.23768,-33.78665,-142.9831,144.0354,-23.37864,202408261527129647,
2-18,A_Baseline,1,Q1FrontDown,-50.17927,42.06044,85.23755,-33.78836,-142.9831,144.0354,-23.37818,202408261527129828,
2-18,A_Baseline,1,Q1FrontDown,-50.18294,42.06056,85.23763,-33.79044,-142.983,144.0357,-23.37847,202408261527130058,
2-18,A_Baseline,1,Q1FrontDown,-50.18644,42.06043,85.23768,-33.7926,-142.9828,144.0358,-23.37799,202408261527130337,
2-18,A_Baseline,1,Q1FrontDown,-50.18644,42.06043,85.23768,-33.7926,-142.9828,144.0358,-23.37799,202408261527130501,
2-18,A_Baseline,1,Q1FrontDown,-50.18924,42.06066,85.2375,-33.79296,-142.9831,144.036,-23.3784,202408261527130845,
2-18,A_Baseline,1,Q1FrontDown,-50.19209,42.06056,85.23746,-33.79348,-142.9831,144.0361,-23.3782,202408261527131156,
2-18,A_Baseline,1,Q1FrontDown,-50.19478,42.06076,85.23759,-33.79452,-142.9826,144.0364,-23.37831,202408261527131394,
2-18,A_Baseline,1,Q1FrontDown,-50.19478,42.06076,85.23759,-33.79452,-142.9826,144.0364,-23.37831,202408261527131630,
2-18,A_Baseline,1,Q1FrontDown,-50.19713,42.06062,85.23728,-33.79514,-142.9821,144.0367,-23.37832,202408261527131801,
2-18,A_Baseline,1,Q1FrontDown,-50.19895,42.06087,85.2376,-33.79576,-142.9819,144.0367,-23.37869,202408261527132117,
2-18,A_Baseline,1,Q1FrontDown,-50.19895,42.06087,85.2376,-33.79576,-142.9819,144.0367,-23.37869,202408261527132285,
2-18,A_Baseline,1,Q1FrontDown,-50.19895,42.06087,85.2376,-33.79576,-142.9819,144.0367,-23.37869,202408261527132516,
2-18,A_Baseline,1,Q1FrontDown,-50.20199,42.06067,85.2375,-33.79682,-142.981,144.0372,-23.37844,202408261527132799,
2-18,A_Baseline,1,Q1FrontDown,-50.20199,42.06067,85.2375,-33.79682,-142.981,144.0372,-23.37844,202408261527132988,
2-18,A_Baseline,1,Q1FrontDown,-50.2051,42.06062,85.23772,-33.79903,-142.9796,144.0372,-23.37844,202408261527133222,
2-18,A_Baseline,1,Q1FrontDown,-50.20865,42.06076,85.23727,-33.80209,-142.9785,144.0372,-23.37872,202408261527133525,
2-18,A_Baseline,1,Q1FrontDown,-50.20865,42.06076,85.23727,-33.80209,-142.9785,144.0372,-23.37872,202408261527133690,
2-18,A_Baseline,1,Q1FrontDown,-50.21536,42.06066,85.23759,-33.81012,-142.974,144.0381,-23.37845,202408261527133980,
2-18,A_Baseline,1,Q1FrontDown,-50.21536,42.06066,85.23759,-33.81012,-142.974,144.0381,-23.37845,202408261527134144,
2-18,A_Baseline,1,Q1FrontDown,-50.21536,42.06066,85.23759,-33.81012,-142.974,144.0381,-23.37845,202408261527134312,
2-18,A_Baseline,1,Q1FrontDown,-50.21653,42.06066,85.23777,-33.81095,-142.9704,144.038,-23.37859,202408261527134482,
2-18,A_Baseline,1,Q1FrontDown,-50.21705,42.06066,85.23755,-33.81186,-142.9669,144.0384,-23.37866,202408261527134656,
2-18,A_Baseline,1,Q1FrontDown,-50.21705,42.06066,85.23755,-33.81186,-142.9669,144.0384,-23.37866,202408261527134865,
2-18,A_Baseline,1,Q1FrontDown,-50.21795,42.0606,85.23722,-33.8128,-142.9624,144.0383,-23.37873,202408261527135147,
2-18,A_Baseline,1,Q1FrontDown,-50.21795,42.0606,85.23722,-33.8128,-142.9624,144.0383,-23.37873,202408261527135322,
2-18,A_Baseline,1,Q1FrontDown,-50.21891,42.0605,85.23752,-33.81408,-142.9588,144.0386,-23.37868,202408261527135487,
2-18,A_Baseline,1,Q1FrontDown,-50.21936,42.06038,85.23746,-33.81605,-142.9564,144.0386,-23.37904,202408261527135679,
2-18,A_Baseline,1,Q1FrontDown,-50.21936,42.06038,85.23746,-33.81605,-142.9564,144.0386,-23.37904,202408261527135904,
