ParticipantID,Condition,Trial,PostureID,J1,J2,J3,J4,J5,J6,J7,Timestamp,
2-8,C_HumanVertical,1,Q3FrontDown,-33.69965,29.18178,77.88392,-26.83959,-114.6548,156.5868,-41.73772,202408261746159921,
2-8,C_HumanVertical,1,Q3FrontDown,-33.69965,29.18178,77.88392,-26.83959,-114.6548,156.5868,-41.73772,202408261746160224,
2-8,C_HumanVertical,1,Q3FrontDown,-33.70049,29.18169,77.89735,-26.8396,-114.6561,156.587,-41.73782,202408261746160545,
2-8,C_HumanVertical,1,Q3FrontDown,-33.70258,29.31317,78.535,-26.95134,-114.9665,156.5684,-42.05389,202408261746161503,
2-8,C_HumanVertical,1,Q3FrontDown,-33.6382,29.44592,79.69306,-27.34007,-115.5086,156.5611,-42.55819,202408261746162309,
2-8,C_HumanVertical,1,Q3FrontDown,-33.62016,29.4637,80.00765,-27.51617,-115.6257,156.561,-42.70876,202408261746162550,
2-8,C_HumanVertical,1,Q3FrontDown,-33.62016,29.4637,80.00765,-27.51617,-115.6257,156.561,-42.70876,202408261746162802,
2-8,C_HumanVertical,1,Q3FrontDown,-33.60579,29.46629,80.30882,-27.65623,-115.7115,156.5609,-42.83834,202408261746162983,
2-8,C_HumanVertical,1,Q3FrontDown,-33.56845,29.46477,80.58383,-27.78946,-115.7954,156.5608,-42.96914,202408261746163168,
2-8,C_HumanVertical,1,Q3FrontDown,-33.56845,29.46477,80.58383,-27.78946,-115.7954,156.5608,-42.96914,202408261746163342,
2-8,C_HumanVertical,1,Q3FrontDown,-33.56845,29.46477,80.58383,-27.78946,-115.7954,156.5608,-42.96914,202408261746163500,
2-8,C_HumanVertical,1,Q3FrontDown,-33.54199,29.46625,80.85289,-27.9084,-115.881,156.5609,-43.08905,202408261746163664,
2-8,C_HumanVertical,1,Q3FrontDown,-33.54199,29.46625,80.85289,-27.9084,-115.881,156.5609,-43.08905,202408261746163860,
2-8,C_HumanVertical,1,Q3FrontDown,-33.52921,29.46563,81.08693,-28.02333,-115.9614,156.561,-43.19744,202408261746164060,
2-8,C_HumanVertical,1,Q3FrontDown,-33.5118,29.46217,81.27864,-28.13236,-116.0367,156.5609,-43.30689,202408261746164323,
2-8,C_HumanVertical,1,Q3FrontDown,-33.49295,29.46072,81.47024,-28.2337,-116.1027,156.5611,-43.4115,202408261746164643,
2-8,C_HumanVertical,1,Q3FrontDown,-33.49295,29.46072,81.47024,-28.2337,-116.1027,156.5611,-43.4115,202408261746164815,
2-8,C_HumanVertical,1,Q3FrontDown,-33.47686,29.46182,81.64663,-28.32014,-116.1766,156.5611,-43.50536,202408261746165021,
2-8,C_HumanVertical,1,Q3FrontDown,-33.46125,29.46179,81.80453,-28.39044,-116.2745,156.5613,-43.5895,202408261746165305,
2-8,C_HumanVertical,1,Q3FrontDown,-33.46125,29.46179,81.80453,-28.39044,-116.2745,156.5613,-43.5895,202408261746165462,
2-8,C_HumanVertical,1,Q3FrontDown,-33.445,29.46242,81.91556,-28.44555,-116.3529,156.5611,-43.66553,202408261746165685,
