ParticipantID,Condition,Trial,PostureID,J1,J2,J3,J4,J5,J6,J7,Timestamp,
2-15,A_Baseline,1,Q3FrontUp,-54.76619,35.37406,84.85155,-55.67722,-143.8673,134.5943,-57.54964,202408221539203935,
2-15,A_Baseline,1,Q3FrontUp,-54.76612,35.37384,84.85165,-55.67738,-143.8671,134.5946,-57.54931,202408221539204382,
2-15,A_Baseline,1,Q3FrontUp,-54.70572,35.37518,84.80276,-55.6279,-143.8672,134.5948,-57.55034,202408221539204682,
2-15,A_Baseline,1,Q3FrontUp,-54.70572,35.37518,84.80276,-55.6279,-143.8672,134.5948,-57.55034,202408221539205011,
2-15,A_Baseline,1,Q3FrontUp,-54.62089,35.37587,84.77062,-55.57389,-143.8672,134.5942,-57.55471,202408221539205346,
2-15,A_Baseline,1,Q3FrontUp,-54.62089,35.37587,84.77062,-55.57389,-143.8672,134.5942,-57.55471,202408221539205706,
2-15,A_Baseline,1,Q3FrontUp,-54.54668,35.38083,84.76254,-55.5767,-143.8674,134.5947,-57.56453,202408221539206026,
2-15,A_Baseline,1,Q3FrontUp,-54.54668,35.38083,84.76254,-55.5767,-143.8674,134.5947,-57.56453,202408221539206314,
2-15,A_Baseline,1,Q3FrontUp,-54.51002,35.38155,84.75052,-55.57515,-143.8673,134.5946,-57.56932,202408221539206616,
2-15,A_Baseline,1,Q3FrontUp,-54.47704,35.38223,84.74434,-55.5753,-143.8674,134.5945,-57.57087,202408221539206825,
2-15,A_Baseline,1,Q3FrontUp,-54.44683,35.38336,84.73907,-55.57627,-143.8674,134.5946,-57.57209,202408221539207117,
2-15,A_Baseline,1,Q3FrontUp,-54.44683,35.38336,84.73907,-55.57627,-143.8674,134.5946,-57.57209,202408221539207311,
2-15,A_Baseline,1,Q3FrontUp,-54.42525,35.384,84.73891,-55.57607,-143.8674,134.5946,-57.57174,202408221539207586,
2-15,A_Baseline,1,Q3FrontUp,-54.40461,35.38442,84.73741,-55.57581,-143.8674,134.5946,-57.57218,202408221539207753,
2-15,A_Baseline,1,Q3FrontUp,-54.40461,35.38442,84.73741,-55.57581,-143.8674,134.5946,-57.57218,202408221539207917,
2-15,A_Baseline,1,Q3FrontUp,-54.38721,35.38474,84.7362,-55.57623,-143.8672,134.5947,-57.57261,202408221539208136,
2-15,A_Baseline,1,Q3FrontUp,-54.38721,35.38474,84.7362,-55.57623,-143.8672,134.5947,-57.57261,202408221539208319,
2-15,A_Baseline,1,Q3FrontUp,-54.3763,35.38429,84.73622,-55.57539,-143.8673,134.5945,-57.57278,202408221539208593,
2-15,A_Baseline,1,Q3FrontUp,-54.36859,35.38408,84.7362,-55.57505,-143.8674,134.5947,-57.5727,202408221539208778,
2-15,A_Baseline,1,Q3FrontUp,-54.36859,35.38408,84.7362,-55.57505,-143.8674,134.5947,-57.5727,202408221539208967,
2-15,A_Baseline,1,Q3FrontUp,-54.36085,35.38456,84.73491,-55.57487,-143.8672,134.5946,-57.57261,202408221539209197,
2-15,A_Baseline,1,Q3FrontUp,-54.35405,35.3847,84.72758,-55.57507,-143.8672,134.5946,-57.57307,202408221539209455,
2-15,A_Baseline,1,Q3FrontUp,-54.34868,35.38493,84.72264,-55.5751,-143.8671,134.5947,-57.57268,202408221539209780,
2-15,A_Baseline,1,Q3FrontUp,-54.34868,35.38493,84.72264,-55.5751,-143.8671,134.5947,-57.57268,202408221539209989,
2-15,A_Baseline,1,Q3FrontUp,-54.34314,35.3852,84.71815,-55.57556,-143.8673,134.5947,-57.57242,202408221539210175,
2-15,A_Baseline,1,Q3FrontUp,-54.33824,35.38586,84.71589,-55.57553,-143.8672,134.5945,-57.57265,202408221539210437,
2-15,A_Baseline,1,Q3FrontUp,-54.33824,35.38586,84.71589,-55.57553,-143.8672,134.5945,-57.57265,202408221539210594,
2-15,A_Baseline,1,Q3FrontUp,-54.3339,35.38586,84.71382,-55.57504,-143.8674,134.5947,-57.57264,202408221539210771,
2-15,A_Baseline,1,Q3FrontUp,-54.3339,35.38586,84.71382,-55.57504,-143.8674,134.5947,-57.57264,202408221539210950,
2-15,A_Baseline,1,Q3FrontUp,-54.32981,35.38575,84.71344,-55.57521,-143.8673,134.5946,-57.57265,202408221539211108,
2-15,A_Baseline,1,Q3FrontUp,-54.32981,35.38575,84.71344,-55.57521,-143.8673,134.5946,-57.57265,202408221539211337,
2-15,A_Baseline,1,Q3FrontUp,-54.32613,35.38584,84.7133,-55.57536,-143.8672,134.5945,-57.57294,202408221539211618,
2-15,A_Baseline,1,Q3FrontUp,-54.32613,35.38584,84.7133,-55.57536,-143.8672,134.5945,-57.57294,202408221539211773,
2-15,A_Baseline,1,Q3FrontUp,-54.31654,35.38589,84.7084,-55.5753,-143.8672,134.5947,-57.57319,202408221539212114,
2-15,A_Baseline,1,Q3FrontUp,-54.31654,35.38589,84.7084,-55.5753,-143.8672,134.5947,-57.57319,202408221539212338,
2-15,A_Baseline,1,Q3FrontUp,-54.31176,35.38626,84.70598,-55.5753,-143.8672,134.5946,-57.573,202408221539212603,
2-15,A_Baseline,1,Q3FrontUp,-54.30717,35.38746,84.70503,-55.5755,-143.8674,134.5946,-57.57315,202408221539212956,
2-15,A_Baseline,1,Q3FrontUp,-54.2998,35.3909,84.70264,-55.57454,-143.8673,134.5943,-57.57391,202408221539213211,
2-15,A_Baseline,1,Q3FrontUp,-54.28582,35.39788,84.69656,-55.57457,-143.8672,134.5945,-57.57589,202408221539213500,
2-15,A_Baseline,1,Q3FrontUp,-54.28582,35.39788,84.69656,-55.57457,-143.8672,134.5945,-57.57589,202408221539213814,
2-15,A_Baseline,1,Q3FrontUp,-54.25702,35.41164,84.68732,-55.57468,-143.8674,134.5945,-57.57779,202408221539214119,
2-15,A_Baseline,1,Q3FrontUp,-54.25702,35.41164,84.68732,-55.57468,-143.8674,134.5945,-57.57779,202408221539214290,
2-15,A_Baseline,1,Q3FrontUp,-54.23899,35.4217,84.68591,-55.57457,-143.8671,134.5944,-57.58001,202408221539214474,
2-15,A_Baseline,1,Q3FrontUp,-54.21022,35.42645,84.66198,-55.5674,-143.8672,134.5946,-57.58162,202408221539214756,
2-15,A_Baseline,1,Q3FrontUp,-54.21022,35.42645,84.66198,-55.5674,-143.8672,134.5946,-57.58162,202408221539214953,
2-15,A_Baseline,1,Q3FrontUp,-54.17216,35.4281,84.62553,-55.54909,-143.8668,134.5952,-57.58174,202408221539215262,
2-15,A_Baseline,1,Q3FrontUp,-54.1265,35.42772,84.58556,-55.51487,-143.8667,134.595,-57.58207,202408221539215457,
2-15,A_Baseline,1,Q3FrontUp,-54.08275,35.42695,84.54011,-55.48554,-143.8667,134.5952,-57.58205,202408221539215702,
2-15,A_Baseline,1,Q3FrontUp,-54.08275,35.42695,84.54011,-55.48554,-143.8667,134.5952,-57.58205,202408221539215934,
2-15,A_Baseline,1,Q3FrontUp,-54.0401,35.42645,84.49141,-55.46112,-143.8664,134.5953,-57.582,202408221539216118,
2-15,A_Baseline,1,Q3FrontUp,-54.0401,35.42645,84.49141,-55.46112,-143.8664,134.5953,-57.582,202408221539216359,
2-15,A_Baseline,1,Q3FrontUp,-54.0013,35.42688,84.44086,-55.44202,-143.8664,134.5954,-57.58205,202408221539216611,
2-15,A_Baseline,1,Q3FrontUp,-53.98006,35.42657,84.40384,-55.43295,-143.8662,134.5955,-57.58248,202408221539216867,
2-15,A_Baseline,1,Q3FrontUp,-53.96416,35.42739,84.36755,-55.4316,-143.8658,134.5956,-57.58231,202408221539217103,
2-15,A_Baseline,1,Q3FrontUp,-53.94912,35.42778,84.3252,-55.43206,-143.8661,134.5954,-57.58247,202408221539217422,
2-15,A_Baseline,1,Q3FrontUp,-53.94912,35.42778,84.3252,-55.43206,-143.8661,134.5954,-57.58247,202408221539217591,
2-15,A_Baseline,1,Q3FrontUp,-53.93847,35.42719,84.27695,-55.43254,-143.866,134.5956,-57.58291,202408221539217780,
2-15,A_Baseline,1,Q3FrontUp,-53.93847,35.42719,84.27695,-55.43254,-143.866,134.5956,-57.58291,202408221539217996,
2-15,A_Baseline,1,Q3FrontUp,-53.93381,35.427,84.23206,-55.43176,-143.8659,134.5958,-57.58295,202408221539218292,
2-15,A_Baseline,1,Q3FrontUp,-53.93272,35.42719,84.18751,-55.43154,-143.8658,134.596,-57.58246,202408221539218635,
2-15,A_Baseline,1,Q3FrontUp,-53.93327,35.42785,84.14492,-55.4316,-143.866,134.5961,-57.58298,202408221539219035,
2-15,A_Baseline,1,Q3FrontUp,-53.93327,35.42785,84.14492,-55.4316,-143.866,134.5961,-57.58298,202408221539219265,
2-15,A_Baseline,1,Q3FrontUp,-53.93349,35.42957,84.07828,-55.43205,-143.8659,134.5962,-57.58262,202408221539219439,
2-15,A_Baseline,1,Q3FrontUp,-53.93349,35.42957,84.07828,-55.43205,-143.8659,134.5962,-57.58262,202408221539219650,
2-15,A_Baseline,1,Q3FrontUp,-53.93323,35.42941,84.05361,-55.43275,-143.866,134.5963,-57.58246,202408221539219950,
2-15,A_Baseline,1,Q3FrontUp,-53.93333,35.42952,84.03693,-55.43279,-143.8657,134.5961,-57.58274,202408221539220194,
2-15,A_Baseline,1,Q3FrontUp,-53.93313,35.42905,84.02792,-55.43256,-143.8659,134.5963,-57.58373,202408221539220523,
2-15,A_Baseline,1,Q3FrontUp,-53.93345,35.42886,84.02146,-55.43264,-143.8652,134.5968,-57.58428,202408221539220702,
2-15,A_Baseline,1,Q3FrontUp,-53.93345,35.42886,84.02146,-55.43264,-143.8652,134.5968,-57.58428,202408221539220936,
2-15,A_Baseline,1,Q3FrontUp,-53.9335,35.42886,84.01787,-55.43335,-143.8651,134.5975,-57.58485,202408221539221192,
2-15,A_Baseline,1,Q3FrontUp,-53.93295,35.42886,84.0157,-55.43511,-143.8649,134.5982,-57.58534,202408221539221353,
2-15,A_Baseline,1,Q3FrontUp,-53.93295,35.42886,84.0157,-55.43511,-143.8649,134.5982,-57.58534,202408221539221655,
2-15,A_Baseline,1,Q3FrontUp,-53.9334,35.42916,84.01437,-55.43844,-143.8647,134.5998,-57.58664,202408221539221951,
2-15,A_Baseline,1,Q3FrontUp,-53.93328,35.42916,84.01278,-55.44114,-143.8645,134.6042,-57.5889,202408221539222108,
2-15,A_Baseline,1,Q3FrontUp,-53.93328,35.42916,84.01278,-55.44114,-143.8645,134.6042,-57.5889,202408221539222282,
2-15,A_Baseline,1,Q3FrontUp,-53.93338,35.42905,84.01251,-55.44354,-143.8632,134.6144,-57.59037,202408221539222536,
2-15,A_Baseline,1,Q3FrontUp,-53.93332,35.42838,84.01254,-55.44428,-143.8631,134.6204,-57.59067,202408221539222777,
2-15,A_Baseline,1,Q3FrontUp,-53.93332,35.42838,84.01254,-55.44428,-143.8631,134.6204,-57.59067,202408221539222944,
2-15,A_Baseline,1,Q3FrontUp,-53.93338,35.42864,84.01252,-55.44414,-143.8614,134.6323,-57.59145,202408221539223113,
2-15,A_Baseline,1,Q3FrontUp,-53.93338,35.42864,84.01252,-55.44414,-143.8614,134.6323,-57.59145,202408221539223281,
2-15,A_Baseline,1,Q3FrontUp,-53.93379,35.42874,84.01233,-55.44413,-143.8568,134.6569,-57.59203,202408221539223462,
2-15,A_Baseline,1,Q3FrontUp,-53.93379,35.42874,84.01233,-55.44413,-143.8568,134.6569,-57.59203,202408221539223674,
2-15,A_Baseline,1,Q3FrontUp,-53.93359,35.42874,84.01256,-55.44427,-143.8556,134.6717,-57.59208,202408221539223976,
2-15,A_Baseline,1,Q3FrontUp,-53.93422,35.42878,84.0128,-55.44586,-143.8549,134.6905,-57.592,202408221539224158,
2-15,A_Baseline,1,Q3FrontUp,-53.93422,35.42878,84.0128,-55.44586,-143.8549,134.6905,-57.592,202408221539224316,
2-15,A_Baseline,1,Q3FrontUp,-53.93487,35.42901,84.01317,-55.45337,-143.8543,134.7174,-57.59193,202408221539224630,
2-15,A_Baseline,1,Q3FrontUp,-53.94158,35.42931,84.02132,-55.46643,-143.8534,134.7476,-57.59186,202408221539224836,
2-15,A_Baseline,1,Q3FrontUp,-53.95087,35.42952,84.0313,-55.48248,-143.8526,134.7813,-57.59216,202408221539225121,
