ParticipantID,Condition,Trial,PostureID,J1,J2,J3,J4,J5,J6,J7,Timestamp,
2-7,C_HumanVertical,1,Q3FrontUp,-49.32425,41.16768,100.5807,-49.17831,-135.635,133.3753,-37.88973,202408261621590623,
2-7,C_HumanVertical,1,Q3FrontUp,-49.32425,41.16768,100.5807,-49.17831,-135.635,133.3753,-37.88973,202408261621591015,
2-7,C_HumanVertical,1,Q3FrontUp,-49.3244,41.16764,100.5807,-49.17818,-135.635,133.3752,-37.89,202408261621591316,
2-7,C_HumanVertical,1,Q3FrontUp,-49.3244,41.16764,100.5807,-49.17818,-135.635,133.3752,-37.89,202408261621591549,
2-7,C_HumanVertical,1,Q3FrontUp,-49.32413,41.1676,100.5808,-49.17818,-135.6352,133.3755,-37.89014,202408261621591712,
2-7,C_HumanVertical,1,Q3FrontUp,-49.32299,41.16683,100.5537,-49.1801,-135.6359,133.3753,-37.89013,202408261621591888,
2-7,C_HumanVertical,1,Q3FrontUp,-49.32299,41.16683,100.5537,-49.1801,-135.6359,133.3753,-37.89013,202408261621592233,
2-7,C_HumanVertical,1,Q3FrontUp,-49.32387,41.16769,100.5318,-49.18155,-135.6361,133.3754,-37.89043,202408261621592412,
2-7,C_HumanVertical,1,Q3FrontUp,-49.3242,41.16994,100.5168,-49.18181,-135.6361,133.3751,-37.89001,202408261621592704,
2-7,C_HumanVertical,1,Q3FrontUp,-49.32419,41.17113,100.4971,-49.18199,-135.6362,133.3753,-37.89036,202408261621592870,
2-7,C_HumanVertical,1,Q3FrontUp,-49.32367,41.1727,100.4779,-49.18339,-135.6361,133.3755,-37.89037,202408261621593207,
2-7,C_HumanVertical,1,Q3FrontUp,-49.32367,41.1727,100.4779,-49.18339,-135.6361,133.3755,-37.89037,202408261621593481,
2-7,C_HumanVertical,1,Q3FrontUp,-49.32332,41.17282,100.4598,-49.18818,-135.6363,133.3757,-37.89026,202408261621593714,
2-7,C_HumanVertical,1,Q3FrontUp,-49.32389,41.17282,100.4516,-49.1894,-135.6362,133.3754,-37.89031,202408261621593992,
2-7,C_HumanVertical,1,Q3FrontUp,-49.32439,41.17281,100.4507,-49.1891,-135.6362,133.3755,-37.89008,202408261621594162,
2-7,C_HumanVertical,1,Q3FrontUp,-49.32439,41.17281,100.4507,-49.1891,-135.6362,133.3755,-37.89008,202408261621594494,
2-7,C_HumanVertical,1,Q3FrontUp,-49.32376,41.17247,100.4508,-49.18989,-135.636,133.3757,-37.89011,202408261621594699,
2-7,C_HumanVertical,1,Q3FrontUp,-49.32366,41.1724,100.4508,-49.19001,-135.6361,133.3757,-37.89015,202408261621595007,
2-7,C_HumanVertical,1,Q3FrontUp,-49.3236,41.17251,100.4509,-49.19011,-135.6364,133.3757,-37.89032,202408261621595282,
2-7,C_HumanVertical,1,Q3FrontUp,-49.3236,41.17251,100.4509,-49.19011,-135.6364,133.3757,-37.89032,202408261621595458,
