ParticipantID,Condition,Trial,PostureID,J1,J2,J3,J4,J5,J6,J7,Timestamp,
2-4,C_HumanVertical,1,Q3FrontDown,-70.4124,27.84823,88.25512,-47.5312,-138.2442,147.2322,-37.12372,202408231157369713,
2-4,C_HumanVertical,1,Q3FrontDown,-70.4124,27.84823,88.25512,-47.5312,-138.2442,147.2322,-37.12372,202408231157370078,
2-4,C_HumanVertical,1,Q3FrontDown,-70.41831,27.84829,88.2554,-47.54674,-138.2719,147.232,-37.18782,202408231157370398,
2-4,C_HumanVertical,1,Q3FrontDown,-70.42251,27.84848,88.25485,-47.55756,-138.2871,147.2323,-37.22417,202408231157370703,
2-4,C_HumanVertical,1,Q3FrontDown,-70.34382,27.83269,88.05292,-47.5641,-138.3521,147.3328,-37.30016,202408231157371022,
2-4,C_HumanVertical,1,Q3FrontDown,-70.19964,27.7334,87.45818,-47.58279,-138.4705,147.5527,-37.41637,202408231157371415,
2-4,C_HumanVertical,1,Q3FrontDown,-70.10071,27.66998,86.91625,-47.60163,-138.5841,147.7502,-37.5234,202408231157371731,
2-4,C_HumanVertical,1,Q3FrontDown,-70.01509,27.67357,86.4587,-47.64273,-138.6892,147.9263,-37.60596,202408231157372014,
2-4,C_HumanVertical,1,Q3FrontDown,-69.9258,27.71599,85.90332,-47.68491,-138.835,148.1181,-37.7109,202408231157372321,
2-4,C_HumanVertical,1,Q3FrontDown,-69.82656,27.79044,85.39904,-47.77651,-138.9464,148.3016,-37.79834,202408231157372607,
2-4,C_HumanVertical,1,Q3FrontDown,-69.82656,27.79044,85.39904,-47.77651,-138.9464,148.3016,-37.79834,202408231157372808,
2-4,C_HumanVertical,1,Q3FrontDown,-69.75338,27.88889,84.93295,-47.87124,-139.0534,148.4704,-37.88275,202408231157373002,
2-4,C_HumanVertical,1,Q3FrontDown,-69.72224,27.96929,84.53076,-47.92428,-139.1454,148.592,-37.95295,202408231157373247,
2-4,C_HumanVertical,1,Q3FrontDown,-69.72224,27.96929,84.53076,-47.92428,-139.1454,148.592,-37.95295,202408231157373450,
2-4,C_HumanVertical,1,Q3FrontDown,-69.70609,28.04436,84.11412,-47.95406,-139.2303,148.7133,-38.02644,202408231157373617,
2-4,C_HumanVertical,1,Q3FrontDown,-69.70609,28.04436,84.11412,-47.95406,-139.2303,148.7133,-38.02644,202408231157373796,
2-4,C_HumanVertical,1,Q3FrontDown,-69.7005,28.12008,83.75564,-47.98293,-139.3022,148.8121,-38.09775,202408231157373969,
2-4,C_HumanVertical,1,Q3FrontDown,-69.7005,28.12008,83.75564,-47.98293,-139.3022,148.8121,-38.09775,202408231157374150,
2-4,C_HumanVertical,1,Q3FrontDown,-69.70157,28.20291,83.4341,-48.00515,-139.3584,148.9049,-38.16116,202408231157374319,
2-4,C_HumanVertical,1,Q3FrontDown,-69.70157,28.20291,83.4341,-48.00515,-139.3584,148.9049,-38.16116,202408231157374591,
2-4,C_HumanVertical,1,Q3FrontDown,-69.70941,28.28686,83.14041,-48.01174,-139.4091,149.0105,-38.21381,202408231157374757,
2-4,C_HumanVertical,1,Q3FrontDown,-69.71331,28.36863,82.88215,-48.01293,-139.4582,149.1105,-38.26251,202408231157374918,
2-4,C_HumanVertical,1,Q3FrontDown,-69.71331,28.36863,82.88215,-48.01293,-139.4582,149.1105,-38.26251,202408231157375087,
2-4,C_HumanVertical,1,Q3FrontDown,-69.715,28.42706,82.61909,-48.01798,-139.502,149.2068,-38.30745,202408231157375332,
2-4,C_HumanVertical,1,Q3FrontDown,-69.71751,28.48286,82.38972,-48.02242,-139.5494,149.2932,-38.35379,202408231157375627,
2-4,C_HumanVertical,1,Q3FrontDown,-69.71751,28.48286,82.38972,-48.02242,-139.5494,149.2932,-38.35379,202408231157375802,
2-4,C_HumanVertical,1,Q3FrontDown,-69.72004,28.54144,82.18036,-48.02961,-139.5943,149.3579,-38.40872,202408231157376008,
2-4,C_HumanVertical,1,Q3FrontDown,-69.71963,28.58781,81.98472,-48.03975,-139.6351,149.3929,-38.46711,202408231157376331,
2-4,C_HumanVertical,1,Q3FrontDown,-69.71963,28.58781,81.98472,-48.03975,-139.6351,149.3929,-38.46711,202408231157376591,
2-4,C_HumanVertical,1,Q3FrontDown,-69.72087,28.62571,81.80398,-48.05035,-139.6755,149.4297,-38.5236,202408231157376785,
2-4,C_HumanVertical,1,Q3FrontDown,-69.72137,28.66537,81.65488,-48.05558,-139.7154,149.4659,-38.57894,202408231157377089,
2-4,C_HumanVertical,1,Q3FrontDown,-69.72202,28.6892,81.51949,-48.05647,-139.7574,149.4995,-38.62731,202408231157377260,
2-4,C_HumanVertical,1,Q3FrontDown,-69.72202,28.6892,81.51949,-48.05647,-139.7574,149.4995,-38.62731,202408231157377513,
2-4,C_HumanVertical,1,Q3FrontDown,-69.71982,28.70186,81.39204,-48.05182,-139.8653,149.5447,-38.65195,202408231157377666,
2-4,C_HumanVertical,1,Q3FrontDown,-69.69632,28.69915,81.24326,-48.03429,-139.9703,149.5916,-38.66733,202408231157377915,
2-4,C_HumanVertical,1,Q3FrontDown,-69.69632,28.69915,81.24326,-48.03429,-139.9703,149.5916,-38.66733,202408231157378135,
2-4,C_HumanVertical,1,Q3FrontDown,-69.66228,28.69243,81.0957,-48.00171,-140.0518,149.6323,-38.67868,202408231157378495,
2-4,C_HumanVertical,1,Q3FrontDown,-69.65816,28.70084,81.07931,-47.957,-140.138,149.6496,-38.69315,202408231157378797,
2-4,C_HumanVertical,1,Q3FrontDown,-69.63328,28.70205,81.05941,-47.89574,-140.2952,149.652,-38.6847,202408231157379101,
2-4,C_HumanVertical,1,Q3FrontDown,-69.6023,28.69521,81.04356,-47.81614,-140.4527,149.6524,-38.64449,202408231157379344,
2-4,C_HumanVertical,1,Q3FrontDown,-69.61125,28.6857,81.16258,-47.73915,-140.6286,149.6511,-38.53752,202408231157379594,
2-4,C_HumanVertical,1,Q3FrontDown,-69.65276,28.66871,81.36974,-47.68579,-140.8093,149.633,-38.40398,202408231157379929,
2-4,C_HumanVertical,1,Q3FrontDown,-69.65276,28.66871,81.36974,-47.68579,-140.8093,149.633,-38.40398,202408231157380096,
2-4,C_HumanVertical,1,Q3FrontDown,-69.70911,28.64624,81.63662,-47.61618,-140.9849,149.5976,-38.26358,202408231157380261,
2-4,C_HumanVertical,1,Q3FrontDown,-69.70911,28.64624,81.63662,-47.61618,-140.9849,149.5976,-38.26358,202408231157380491,
2-4,C_HumanVertical,1,Q3FrontDown,-69.74006,28.59651,81.90192,-47.54259,-141.1844,149.5732,-38.13084,202408231157380674,
2-4,C_HumanVertical,1,Q3FrontDown,-69.74006,28.59651,81.90192,-47.54259,-141.1844,149.5732,-38.13084,202408231157380847,
2-4,C_HumanVertical,1,Q3FrontDown,-69.84967,28.52341,82.30924,-47.54708,-141.2498,149.3306,-38.04583,202408231157381141,
2-4,C_HumanVertical,1,Q3FrontDown,-69.99451,28.47699,82.8278,-47.60907,-141.2355,148.881,-37.98206,202408231157381421,
2-4,C_HumanVertical,1,Q3FrontDown,-70.11753,28.40346,83.3423,-47.65862,-141.2242,148.4555,-37.92147,202408231157381603,
2-4,C_HumanVertical,1,Q3FrontDown,-70.11753,28.40346,83.3423,-47.65862,-141.2242,148.4555,-37.92147,202408231157381850,
2-4,C_HumanVertical,1,Q3FrontDown,-70.19057,28.32688,83.79868,-47.73342,-141.2181,148.038,-37.86058,202408231157382076,
2-4,C_HumanVertical,1,Q3FrontDown,-70.23875,28.23527,84.21413,-47.83024,-141.2172,147.5369,-37.79771,202408231157382251,
2-4,C_HumanVertical,1,Q3FrontDown,-70.23875,28.23527,84.21413,-47.83024,-141.2172,147.5369,-37.79771,202408231157382494,
2-4,C_HumanVertical,1,Q3FrontDown,-70.24178,28.1125,84.48074,-47.97532,-141.2131,147.0323,-37.72459,202408231157382843,
2-4,C_HumanVertical,1,Q3FrontDown,-70.23344,27.96335,84.72509,-48.16301,-141.2014,146.4675,-37.66331,202408231157383141,
2-4,C_HumanVertical,1,Q3FrontDown,-70.19793,27.82636,84.90554,-48.42194,-141.1846,145.9236,-37.60891,202408231157383466,
2-4,C_HumanVertical,1,Q3FrontDown,-70.15655,27.70418,85.06657,-48.6979,-141.1784,145.4177,-37.55915,202408231157383627,
2-4,C_HumanVertical,1,Q3FrontDown,-70.15655,27.70418,85.06657,-48.6979,-141.1784,145.4177,-37.55915,202408231157383839,
2-4,C_HumanVertical,1,Q3FrontDown,-70.0592,27.60117,85.18163,-49.00071,-141.1588,144.9211,-37.5093,202408231157384109,
2-4,C_HumanVertical,1,Q3FrontDown,-69.94521,27.49014,85.24397,-49.32478,-141.1413,144.4659,-37.46716,202408231157384427,
2-4,C_HumanVertical,1,Q3FrontDown,-69.75208,27.38926,85.24312,-49.66035,-141.1389,143.9994,-37.41191,202408231157384588,
2-4,C_HumanVertical,1,Q3FrontDown,-69.75208,27.38926,85.24312,-49.66035,-141.1389,143.9994,-37.41191,202408231157384776,
2-4,C_HumanVertical,1,Q3FrontDown,-69.52177,27.27097,85.19008,-50.04255,-141.1127,143.5771,-37.36895,202408231157385014,
2-4,C_HumanVertical,1,Q3FrontDown,-69.25806,27.12462,85.08961,-50.41158,-141.0865,143.1485,-37.33679,202408231157385264,
2-4,C_HumanVertical,1,Q3FrontDown,-69.25806,27.12462,85.08961,-50.41158,-141.0865,143.1485,-37.33679,202408231157385463,
2-4,C_HumanVertical,1,Q3FrontDown,-68.95227,27.01158,85.0048,-50.79874,-141.0635,142.7676,-37.30447,202408231157385699,
2-4,C_HumanVertical,1,Q3FrontDown,-68.62589,26.89076,84.91889,-51.18622,-141.0398,142.4513,-37.27816,202408231157386019,
2-4,C_HumanVertical,1,Q3FrontDown,-68.28693,26.79618,84.84315,-51.56831,-141.0104,142.1375,-37.25658,202408231157386287,
2-4,C_HumanVertical,1,Q3FrontDown,-68.28693,26.79618,84.84315,-51.56831,-141.0104,142.1375,-37.25658,202408231157386459,
2-4,C_HumanVertical,1,Q3FrontDown,-67.9922,26.69281,84.78967,-51.96915,-140.9839,142,-37.17801,202408231157386709,
2-4,C_HumanVertical,1,Q3FrontDown,-67.70648,26.58259,84.73992,-52.4134,-140.9318,141.9257,-37.09993,202408231157386940,
2-4,C_HumanVertical,1,Q3FrontDown,-67.70648,26.58259,84.73992,-52.4134,-140.9318,141.9257,-37.09993,202408231157387149,
2-4,C_HumanVertical,1,Q3FrontDown,-67.39967,26.43678,84.69235,-52.86235,-140.8591,141.8947,-37.02266,202408231157387326,
2-4,C_HumanVertical,1,Q3FrontDown,-67.39967,26.43678,84.69235,-52.86235,-140.8591,141.8947,-37.02266,202408231157387593,
2-4,C_HumanVertical,1,Q3FrontDown,-67.11608,26.31644,84.66485,-53.29787,-140.791,141.8645,-36.95462,202408231157387762,
2-4,C_HumanVertical,1,Q3FrontDown,-66.83218,26.19531,84.64931,-53.73722,-140.7284,141.8041,-36.88688,202408231157387973,
2-4,C_HumanVertical,1,Q3FrontDown,-66.83218,26.19531,84.64931,-53.73722,-140.7284,141.8041,-36.88688,202408231157388190,
2-4,C_HumanVertical,1,Q3FrontDown,-66.55754,26.09021,84.65033,-54.17591,-140.6627,141.7474,-36.82955,202408231157388460,
2-4,C_HumanVertical,1,Q3FrontDown,-66.27944,25.96028,84.61672,-54.64637,-140.5128,141.7058,-36.79208,202408231157388628,
2-4,C_HumanVertical,1,Q3FrontDown,-65.9988,25.82762,84.57675,-55.06716,-140.3555,141.6805,-36.76641,202408231157389007,
2-4,C_HumanVertical,1,Q3FrontDown,-65.73042,25.68795,84.53869,-55.50965,-140.226,141.674,-36.75108,202408231157389255,
2-4,C_HumanVertical,1,Q3FrontDown,-65.46877,25.56273,84.52551,-55.96568,-140.0966,141.6726,-36.74061,202408231157389576,
2-4,C_HumanVertical,1,Q3FrontDown,-65.46877,25.56273,84.52551,-55.96568,-140.0966,141.6726,-36.74061,202408231157389743,
2-4,C_HumanVertical,1,Q3FrontDown,-65.22592,25.42343,84.52092,-56.41774,-139.9527,141.7119,-36.72148,202408231157389908,
2-4,C_HumanVertical,1,Q3FrontDown,-65.22592,25.42343,84.52092,-56.41774,-139.9527,141.7119,-36.72148,202408231157390094,
2-4,C_HumanVertical,1,Q3FrontDown,-65.01061,25.29716,84.52217,-56.88341,-139.8192,141.789,-36.69667,202408231157390342,
2-4,C_HumanVertical,1,Q3FrontDown,-64.80183,25.16006,84.52254,-57.31418,-139.6898,141.8601,-36.67762,202408231157390641,
2-4,C_HumanVertical,1,Q3FrontDown,-64.80183,25.16006,84.52254,-57.31418,-139.6898,141.8601,-36.67762,202408231157390808,
2-4,C_HumanVertical,1,Q3FrontDown,-64.58549,25.03378,84.52237,-57.75357,-139.6183,141.9462,-36.60938,202408231157391138,
2-4,C_HumanVertical,1,Q3FrontDown,-64.39348,24.90653,84.52372,-58.15007,-139.5879,142.065,-36.52031,202408231157391317,
2-4,C_HumanVertical,1,Q3FrontDown,-64.23317,24.80653,84.53622,-58.57035,-139.5613,142.2392,-36.41903,202408231157391612,
2-4,C_HumanVertical,1,Q3FrontDown,-64.23317,24.80653,84.53622,-58.57035,-139.5613,142.2392,-36.41903,202408231157391927,
2-4,C_HumanVertical,1,Q3FrontDown,-64.08117,24.69098,84.54443,-58.9477,-139.53,142.4375,-36.32158,202408231157392130,
2-4,C_HumanVertical,1,Q3FrontDown,-63.92645,24.60579,84.54943,-59.29974,-139.5,142.6538,-36.22198,202408231157392502,
2-4,C_HumanVertical,1,Q3FrontDown,-63.77359,24.54305,84.56479,-59.63216,-139.4694,142.8204,-36.12229,202408231157392755,
2-4,C_HumanVertical,1,Q3FrontDown,-63.64994,24.48467,84.58234,-59.94218,-139.4335,142.9617,-36.02054,202408231157392959,
2-4,C_HumanVertical,1,Q3FrontDown,-63.64994,24.48467,84.58234,-59.94218,-139.4335,142.9617,-36.02054,202408231157393088,
2-4,C_HumanVertical,1,Q3FrontDown,-63.52928,24.43163,84.6131,-60.20645,-139.3911,143.108,-35.91839,202408231157393341,
2-4,C_HumanVertical,1,Q3FrontDown,-63.52928,24.43163,84.6131,-60.20645,-139.3911,143.108,-35.91839,202408231157393487,
2-4,C_HumanVertical,1,Q3FrontDown,-63.43399,24.39892,84.63386,-60.46115,-139.3524,143.2201,-35.82937,202408231157393687,
2-4,C_HumanVertical,1,Q3FrontDown,-63.38223,24.3787,84.68782,-60.68959,-139.3149,143.3235,-35.73391,202408231157393962,
2-4,C_HumanVertical,1,Q3FrontDown,-63.36478,24.37644,84.76038,-60.86429,-139.2841,143.4043,-35.64228,202408231157394294,
2-4,C_HumanVertical,1,Q3FrontDown,-63.39273,24.38383,84.87808,-60.99252,-139.2577,143.4256,-35.56947,202408231157394642,
2-4,C_HumanVertical,1,Q3FrontDown,-63.45436,24.41299,85.00751,-61.09336,-139.2415,143.436,-35.51722,202408231157394933,
2-4,C_HumanVertical,1,Q3FrontDown,-63.54205,24.4664,85.14768,-61.18209,-139.2338,143.4463,-35.48034,202408231157395340,
2-4,C_HumanVertical,1,Q3FrontDown,-63.64275,24.52194,85.28122,-61.24666,-139.2277,143.4555,-35.44156,202408231157395613,
2-4,C_HumanVertical,1,Q3FrontDown,-63.64275,24.52194,85.28122,-61.24666,-139.2277,143.4555,-35.44156,202408231157395820,
2-4,C_HumanVertical,1,Q3FrontDown,-63.76792,24.63047,85.44467,-61.27436,-139.2256,143.4588,-35.4104,202408231157396118,
2-4,C_HumanVertical,1,Q3FrontDown,-63.90833,24.75502,85.60496,-61.28523,-139.2255,143.4606,-35.38374,202408231157396284,
2-4,C_HumanVertical,1,Q3FrontDown,-64.09543,24.91998,85.80933,-61.30692,-139.2253,143.4767,-35.36428,202408231157396599,
2-4,C_HumanVertical,1,Q3FrontDown,-64.09543,24.91998,85.80933,-61.30692,-139.2253,143.4767,-35.36428,202408231157396840,
2-4,C_HumanVertical,1,Q3FrontDown,-64.34075,25.12271,86.02892,-61.32748,-139.2255,143.4895,-35.35316,202408231157397098,
2-4,C_HumanVertical,1,Q3FrontDown,-64.58962,25.36777,86.23067,-61.34221,-139.2254,143.4905,-35.34985,202408231157397424,
2-4,C_HumanVertical,1,Q3FrontDown,-64.58962,25.36777,86.23067,-61.34221,-139.2254,143.4905,-35.34985,202408231157397587,
2-4,C_HumanVertical,1,Q3FrontDown,-64.87808,25.65287,86.45413,-61.36949,-139.2252,143.4949,-35.35055,202408231157397760,
2-4,C_HumanVertical,1,Q3FrontDown,-65.21307,25.94946,86.64252,-61.39605,-139.2256,143.5146,-35.35117,202408231157398027,
2-4,C_HumanVertical,1,Q3FrontDown,-65.21307,25.94946,86.64252,-61.39605,-139.2256,143.5146,-35.35117,202408231157398251,
2-4,C_HumanVertical,1,Q3FrontDown,-65.53197,26.26807,86.77914,-61.41955,-139.2259,143.5406,-35.35037,202408231157398495,
2-4,C_HumanVertical,1,Q3FrontDown,-65.88154,26.59063,86.8731,-61.4404,-139.2263,143.5578,-35.3504,202408231157398810,
2-4,C_HumanVertical,1,Q3FrontDown,-66.2485,26.96684,86.94949,-61.46562,-139.227,143.5685,-35.34998,202408231157399014,
2-4,C_HumanVertical,1,Q3FrontDown,-66.67415,27.34081,87.04053,-61.50484,-139.2285,143.5865,-35.34861,202408231157399266,
2-4,C_HumanVertical,1,Q3FrontDown,-66.67415,27.34081,87.04053,-61.50484,-139.2285,143.5865,-35.34861,202408231157399432,
