ParticipantID,Condition,Trial,PostureID,J1,J2,J3,J4,J5,J6,J7,Timestamp,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.13058,20.90199,108.8999,-32.60435,-114.247,144.0482,-45.37402,202408221831212302,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.13058,20.90199,108.8999,-32.60435,-114.247,144.0482,-45.37402,202408221831212457,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.1403,20.90218,108.8999,-32.60523,-114.2471,144.0636,-45.37338,202408221831212733,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.15618,20.90162,108.9017,-32.60616,-114.2468,144.0788,-45.37338,202408221831213051,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.1933,20.90888,108.95,-32.61036,-114.2465,144.1021,-45.37368,202408221831213244,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.1933,20.90888,108.95,-32.61036,-114.2465,144.1021,-45.37368,202408221831213409,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.24509,20.92979,109.0484,-32.62138,-114.2466,144.1469,-45.37411,202408221831213600,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.28838,20.95705,109.1568,-32.62872,-114.2464,144.1829,-45.37436,202408221831213862,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.28838,20.95705,109.1568,-32.62872,-114.2464,144.1829,-45.37436,202408221831214054,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.32806,20.98105,109.2639,-32.62864,-114.2465,144.2177,-45.37421,202408221831214285,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.36766,21.00066,109.3759,-32.62705,-114.2465,144.2491,-45.37457,202408221831214547,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.40789,21.01298,109.4816,-32.6258,-114.2465,144.2797,-45.37448,202408221831214854,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.40789,21.01298,109.4816,-32.6258,-114.2465,144.2797,-45.37448,202408221831215032,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.43676,21.0203,109.5732,-32.62605,-114.2466,144.3049,-45.37553,202408221831215208,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.43676,21.0203,109.5732,-32.62605,-114.2466,144.3049,-45.37553,202408221831215400,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.45355,21.02341,109.6536,-32.62698,-114.2466,144.3204,-45.37617,202408221831215684,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.4743,21.02374,109.7209,-32.6356,-114.2469,144.3263,-45.37816,202408221831216017,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.49753,21.02419,109.785,-32.65025,-114.247,144.3344,-45.38124,202408221831216356,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.49753,21.02419,109.785,-32.65025,-114.247,144.3344,-45.38124,202408221831216559,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.55701,21.02455,109.8955,-32.68552,-114.2469,144.3511,-45.38511,202408221831216854,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.55701,21.02455,109.8955,-32.68552,-114.2469,144.3511,-45.38511,202408221831217066,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.59402,21.02488,109.951,-32.70032,-114.247,144.3556,-45.3865,202408221831217379,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.63064,21.02657,110.0098,-32.71615,-114.2469,144.3584,-45.3884,202408221831217574,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.6584,21.02876,110.0594,-32.72784,-114.2469,144.3603,-45.38884,202408221831217846,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.6584,21.02876,110.0594,-32.72784,-114.2469,144.3603,-45.38884,202408221831218020,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.67846,21.03329,110.1082,-32.73661,-114.2472,144.3613,-45.38944,202408221831218202,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.67846,21.03329,110.1082,-32.73661,-114.2472,144.3613,-45.38944,202408221831218367,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.69592,21.03658,110.1586,-32.74119,-114.2472,144.3624,-45.38884,202408221831218574,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.71053,21.04076,110.1979,-32.75046,-114.2473,144.363,-45.3891,202408221831218901,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.71053,21.04076,110.1979,-32.75046,-114.2473,144.363,-45.3891,202408221831219131,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.71053,21.04076,110.1979,-32.75046,-114.2473,144.363,-45.3891,202408221831219411,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.72146,21.05293,110.2718,-32.76159,-114.2476,144.3654,-45.38858,202408221831219612,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.72146,21.05293,110.2718,-32.76159,-114.2476,144.3654,-45.38858,202408221831219917,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.7227,21.05995,110.2996,-32.76452,-114.2477,144.3662,-45.38881,202408221831220080,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.72678,21.06708,110.3274,-32.76815,-114.2477,144.3669,-45.38834,202408221831220368,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.73672,21.07391,110.3554,-32.77717,-114.2474,144.3688,-45.38828,202408221831220541,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.73672,21.07391,110.3554,-32.77717,-114.2474,144.3688,-45.38828,202408221831220761,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.7462,21.08004,110.3767,-32.78242,-114.2476,144.372,-45.38844,202408221831221022,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.7462,21.08004,110.3767,-32.78242,-114.2476,144.372,-45.38844,202408221831221183,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.75553,21.08531,110.3924,-32.78402,-114.2477,144.3976,-45.38855,202408221831221398,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.76299,21.08875,110.4038,-32.78447,-114.2478,144.412,-45.38869,202408221831221560,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.76299,21.08875,110.4038,-32.78447,-114.2478,144.412,-45.38869,202408221831221767,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.7705,21.09198,110.4055,-32.78464,-114.2477,144.432,-45.38826,202408221831222042,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.77747,21.0949,110.4068,-32.78467,-114.2476,144.4482,-45.38816,202408221831222203,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.78455,21.09884,110.4081,-32.78501,-114.2477,144.4643,-45.38826,202408221831222528,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.78455,21.09884,110.4081,-32.78501,-114.2477,144.4643,-45.38826,202408221831222728,
2-1A,C_HumanVertical,1,Q1FrontUp,-77.78663,21.1063,110.4088,-32.78525,-114.2477,144.4772,-45.38815,202408221831222917,
